sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_ICHOM_TNMCN_cNX,cNX,8,,1.00,APPROVED,EQUAL,Louise,1640078480477,35919166,cNX,Meas Value,MAPS_TO,,<auto>,1640078406739,
AWELL_mutation_status_ICHOM_ALK_No,No,40,,1.00,APPROVED,EQUAL,Louise,1640078814237,45878245,No,Meas Value,MAPS_TO,,<auto>,1640078406769,
AWELL_ICHOM_TNMPN_pN0,pN0,4,,1.00,APPROVED,EQUAL,Louise,1640078503396,35919637,pN0,Meas Value,MAPS_TO,,<auto>,1640078406778,
AWELL_ICHOM_TNMCM_cM1b,cM1b,15,,1.00,APPROVED,EQUAL,Louise,1640078470861,35919263,cM1b,Meas Value,MAPS_TO,,<auto>,1640078406782,
AWELL_mutation_status_PDL1_Yes,Yes,34,,1.00,APPROVED,EQUAL,Louise,1640079344148,4188539,Yes,Meas Value,MAPS_TO,,Louise,1640079340004,
AWELL_mutation_status_BRAF_Unknown,Unknown,27,,1.00,APPROVED,EQUAL,Louise,1640079323971,4129922,Unknown,Observation,MAPS_TO,,Louise,1640079318907,
AWELL_ICHOM_TNMCT_Unknown,Unknown,1,,1.00,APPROVED,EQUAL,Louise,1640079323971,4129922,Unknown,Observation,MAPS_TO,,Louise,1640079318907,
AWELL_mutation_status_ICHOM_ALK_Yes,Yes,1,,1.00,APPROVED,EQUAL,Louise,1640079344148,4188539,Yes,Meas Value,MAPS_TO,,Louise,1640079340004,
AWELL_mutation_status_HER2_No,No,36,,1.00,APPROVED,EQUAL,Louise,1640078814237,45878245,No,Meas Value,MAPS_TO,,<auto>,1640078407210,
AWELL_ICHOM_TNMCN_Unknown,Unknown,1,,1.00,APPROVED,EQUAL,Louise,1640079323971,4129922,Unknown,Observation,MAPS_TO,,Louise,1640079318907,
AWELL_mutation_status_PDL1_Unknown,Unknown,19,,1.00,APPROVED,EQUAL,Louise,1640079323971,4129922,Unknown,Observation,MAPS_TO,,Louise,1640079318907,
AWELL_ICHOM_TNMCM_cM1c,cM1c,23,,1.00,APPROVED,EQUAL,Louise,1640078471693,35919795,cM1c,Meas Value,MAPS_TO,,<auto>,1640078407294,
AWELL_ICHOM_PERFORM_0,0,6,,0.00,APPROVED,EQUAL,Louise,1640078551532,4175026,ECOG performance status - grade 0,Observation,MAPS_TO,,Louise,1640078550540,
