sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_mutation_status_HER2,HER2,27,,0.93,UNCHECKED,UNREVIEWED,,0,35945563,PER2 (period circadian regulator 2) gene variant measurement,Measurement,MAPS_TO,,<auto>,1640077274360,
AWELL_mutation_status_MET,MET,27,,1.00,UNCHECKED,UNREVIEWED,,0,35961878,"MET (MET proto-oncogene, receptor tyrosine kinase) gene variant measurement",Measurement,MAPS_TO,,<auto>,1640077274373,
AWELL_ICHOM_HISTOL,Histology,28,,0.78,APPROVED,EQUAL,Louise,1640078259526,0,Unmapped,,MAPS_TO,,,0,
AWELL_mutation_status_ROS,ROS,28,,0.84,UNCHECKED,UNREVIEWED,,0,35950151,PROS1 (protein S) gene variant measurement,Measurement,MAPS_TO,,<auto>,1640077274850,
AWELL_mutation_status_BRAF,BRAF,28,,1.00,UNCHECKED,UNREVIEWED,,0,35948173,"BRAF (B-Raf proto-oncogene, serine/threonine kinase) gene variant measurement",Measurement,MAPS_TO,,<auto>,1640077275061,
AWELL_mutation_status_PDL1,PDL1,28,,0.85,UNCHECKED,UNREVIEWED,,0,718584,PD-L1 by Immune stain measurement,Measurement,MAPS_TO,,Louise,1640078160950,
AWELL_mutation_status_ICHOM_EGFR,Activating EGFR,28,,0.69,APPROVED,EQUAL,Louise,1640077460810,4143825,Epidermal growth factor receptor positive non-small cell lung cancer,Condition,MAPS_TO,,Louise,1640077459794,
AWELL_PDL1_SCORE,PDL1 score (in %),28,,0.46,APPROVED,EQUAL,Louise,1640078161687,718584,PD-L1 by Immune stain measurement,Measurement,MAPS_TO,,Louise,1640078160950,
AWELL_mutation_status_KRAS,KRAS,28,,1.00,UNCHECKED,UNREVIEWED,,0,35918056,KRAS,Measurement,MAPS_TO,,<auto>,1640077276576,
AWELL_ICHOM_BASISDIAGN,Method of diagnosis,28,,0.71,APPROVED,EQUAL,Louise,1640078196030,4021918,Qualifier for type of diagnosis,Observation,MAPS_TO,,Louise,1640078195310,
AWELL_ICHOM_TNMPT,Pathological tumor stage,28,,0.75,APPROVED,EQUAL,Louise,1640077899680,35918889,TNM Path T,Measurement,MAPS_TO,,Louise,1640077899128,
AWELL_mutation_status_ICHOM_ALK,ALK translocation,28,,0.76,APPROVED,EQUAL,Louise,1640077410586,3654352,Anaplastic lymphoma kinase fusion oncogene positive non-small cell lung cancer,Condition,MAPS_TO,,Louise,1640077409507,
AWELL_ICHOM_TNMPN,Pathological nodal stage,28,,0.72,APPROVED,EQUAL,Louise,1640077896295,35918791,TNM Path N,Measurement,MAPS_TO,,Louise,1640077895385,
AWELL_ICHOM_PULMFUNCAB,Absolute value FEV-1 (in L),28,,0.35,APPROVED,EQUAL,Louise,1640077549883,3024653,FEV1,Measurement,MAPS_TO,,Louise,1640077548586,
AWELL_ICHOM_TNMCT,Clinical tumor stage,28,,0.79,APPROVED,EQUAL,Louise,1640077589026,35918562,TNM Clin T,Measurement,MAPS_TO,,Louise,1640077588235,
AWELL_ICHOM_INCIDENDATE,Date of pathological or clinical diagnosis,28,,0.70,APPROVED,EQUAL,Louise,1640077645625,4160852,Date of diagnosis,Observation,MAPS_TO,,Louise,1640077644233,
AWELL_ICHOM_PULMFUNCPER,Percent predicted normal value (in %),28,,0.35,APPROVED,EQUAL,Louise,1640078097022,4208972,Percent predicted FEV1,Measurement,MAPS_TO,,Louise,1640078095695,
AWELL_ICHOM_PERFORM,ECOG/WHO performance status,27,,0.58,APPROVED,EQUAL,Louise,1640077871191,4308014,ECOG performance status,Observation,MAPS_TO,,Louise,1640077870287,
AWELL_ICHOM_TNMCN,Clinical nodal stage,28,,0.72,APPROVED,EQUAL,Louise,1640077584370,35918746,TNM Clin N,Measurement,MAPS_TO,,Louise,1640077583594,
AWELL_ICHOM_TNMCM,Clinical metastatic stage,28,,0.73,APPROVED,EQUAL,Louise,1640077577226,35918383,TNM Clin M,Measurement,MAPS_TO,,Louise,1640077573434,
AWELL_ICHOM_TNMMETA,Pathological metastatic stage,28,,0.83,APPROVED,EQUAL,Louise,1640077892975,35918319,TNM Path M,Measurement,MAPS_TO,,Louise,1640077892015,
AWELL_ICHOM_INCIDENDATEMETHOD,Method. Pathologic preferred if available (indicate earliest recorded method). Provide clinical diagnosis if pathologic diagnosis unavailable.,28,,0.35,APPROVED,EQUAL,Louise,1640078291229,0,Unmapped,,MAPS_TO,,,0,
