concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
0,Verhoogde R/S-ratio in V1,Condition,AZDELTA,Clinical Finding,S,HASH_-6599852190081764858,2022-09-22,2099-12-31,
0,R/S inversion area between V1 and V2,Condition,AZDELTA,Clinical Finding,S,HASH_4822178841429671724,2022-09-22,2099-12-31,
0,R/S inversion area between V5 and V6,Condition,AZDELTA,Clinical Finding,S,HASH_-8056752310720194117,2022-09-22,2099-12-31,
0,no R/S inversion up to V6,Condition,AZDELTA,Clinical Finding,S,HASH_343135947322223444,2022-09-22,2099-12-31,
0,S waves up to V6,Condition,AZDELTA,Clinical Finding,S,HASH_-8012708520121929246,2022-09-22,2099-12-31,
0,Abnormale QRS-T-hoek,Condition,AZDELTA,Clinical Finding,S,HASH_-6308664272279379104,2022-09-22,2099-12-31,
0,Patroon van longziekte,Condition,AZDELTA,Clinical Finding,S,HASH_-4192309442818206954,2022-09-22,2099-12-31,
0,T-wave near baseline (lateral,Condition,AZDELTA,Clinical Finding,S,HASH_-5175950444294193549,2022-09-22,2099-12-31,
0,T-wave near baseline (anterior,Condition,AZDELTA,Clinical Finding,S,HASH_-8917483024683267206,2022-09-22,2099-12-31,
0,T-wave near baseline (inferior,Condition,AZDELTA,Clinical Finding,S,HASH_-3385404386422014732,2022-09-22,2099-12-31,
0,Patroon van lateraal letsel,Condition,AZDELTA,Clinical Finding,S,HASH_-7715169911463549960,2022-09-22,2099-12-31,
0,Patroon van inferior letsel,Condition,AZDELTA,Clinical Finding,S,HASH_-4775068722434683001,2022-09-22,2099-12-31,
0,Patroon van anterior letsel,Condition,AZDELTA,Clinical Finding,S,HASH_6748980592619271776,2022-09-22,2099-12-31,
0,small positive T wave (anterior,Condition,AZDELTA,Clinical Finding,S,HASH_1833429859049906158,2022-09-22,2099-12-31,
0,small positive T wave (lateral,Condition,AZDELTA,Clinical Finding,S,HASH_5866006136011151193,2022-09-22,2099-12-31,
0,small positive T wave (inferior,Condition,AZDELTA,Clinical Finding,S,HASH_-3881399513750057844,2022-09-22,2099-12-31,
0,ST-segment depression (lateral,Condition,AZDELTA,Clinical Finding,S,HASH_1419611398263238031,2022-09-22,2099-12-31,
0,Q wave (inferior),Condition,AZDELTA,Clinical Finding,S,HASH_-2948175995508720284,2022-09-22,2099-12-31,
0,repolarisatiestoornis,Condition,AZDELTA,Clinical Finding,S,ECG_REPOLARISATIESTOORNIS,2022-09-22,2099-12-31,


