sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
HASH_7767159512232334452,Abnormal,369211,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994520914,320536,Electrocardiogram abnormal,Condition,MAPS_TO,,etl,1662994248696,
HASH_-2277131525742498163,Abnormaal ECG,237171,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994522599,320536,Electrocardiogram abnormal,Condition,MAPS_TO,,etl,1662994248696,
HASH_3220856416336700633,Normaal sinusritme,234972,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994523438,4142265,ECG: normal sinus rhythm,Condition,MAPS_TO,,etl,1662994248696,
HASH_-7932940323671325013,Normal,173964,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994524170,4065279,ECG normal,Condition,MAPS_TO,,etl,1662994248696,
HASH_-1144257436941280871,Borderline Abnormal,88187,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994524919,4091453,Borderline abnormal ECG,Condition,MAPS_TO,,etl,1662994248696,
HASH_-8531002339391904778,Normaal ECG,81939,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994525621,4065279,ECG normal,Condition,MAPS_TO,,etl,1662994248696,
HASH_-8027982575432148504,Asdeviatie naar links,55732,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994526542,4215406,Left axis deviation,Condition,MAPS_TO,,etl,1662994248696,
HASH_6142402376680734474,Sinusbradycardie,43884,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994527311,4138456,ECG: sinus bradycardia,Condition,MAPS_TO,,etl,1662994248696,
HASH_1549625554017442739,Marginaal ECG,41500,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994528092,4091453,Borderline abnormal ECG,Condition,MAPS_TO,,etl,1662994248696,
HASH_-7126064478221195381,Overigens normaal ECG,37271,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994528831,0,Unmapped,,MAPS_TO,,,0,
HASH_-776248356402638775,Laag voltage QRS,36252,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994529664,4088499,Low QRS voltages,Condition,MAPS_TO,,etl,1662994248696,
HASH_576662422671371321,Rechter-bundeltakblok,34741,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994530555,4064460,EKG: right bundle branch block,Condition,MAPS_TO,,etl,1662994248696,
HASH_-510378371250248381,Atriumfibrilleren,33072,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994531467,4064452,ECG: atrial fibrillation,Condition,MAPS_TO,,etl,1662994248696,
HASH_7245766350521897606,"Inferior infarct , leeftijd onbepaald",28942,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994532969,4247796,Inferior myocardial infarction on electrocardiogram,Condition,MAPS_TO,,etl,1662994248696,
HASH_2754590679178395272,Sinustachycardie,25418,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994543360,4140598,ECG: sinus tachycardia,Condition,MAPS_TO,,etl,1662994248696,
HASH_-3359929098135780498,Sinusritme met 1e graads AV-blok,24355,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994549442,4145513,ECG: sinus rhythm,Condition,MAPS_TO,,etl,1662994248696,
HASH_-3359929098135780498,Sinusritme met 1e graads AV-blok,24355,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994549442,314379,First degree atrioventricular block,Condition,MAPS_TO,,etl,1662994248696,
HASH_5618866637660345291,Niet-specifieke T-golf afwijkingen,21681,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994550615,4065390,EKG: T wave abnormal,Condition,MAPS_TO,,etl,1662994248696,
HASH_3259207029189426733,Verlengde QT,20925,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663000858600,4008859,Prolonged QT interval,Condition,MAPS_TO,,,0,
HASH_4644317365090052441,"Septaal infarct , leeftijd onbepaald",19854,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994627243,4030021,Septal infarction by electrocardiogram,Condition,MAPS_TO,,etl,1662994248696,
HASH_-6833482758753395395,Niet-specifieke ST- en T-afwijkingen,19363,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994628858,4327859,Nonspecific ST-T abnormality on electrocardiogram,Condition,MAPS_TO,,etl,1662994248696,
HASH_-6331620743449055725,Linker-bundeltakblok,18545,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994629764,316998,Left bundle branch block,Condition,MAPS_TO,,etl,1662994248696,
HASH_6494163746385814288,Niet-specifieke ST-afwijkingen,17556,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994631190,4064461,ECG: ST interval abnormal,Condition,MAPS_TO,,etl,1662994248696,
HASH_-7583099027112433836,Linker anterior fasciculair blok,17549,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994633565,40482086,Left anterior fascicular block on electrocardiogram,Condition,MAPS_TO,,etl,1662994248696,
HASH_-1508915761727180076,Borderline Normal,16786,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1662994634492,4091452,Borderline normal ECG,Condition,MAPS_TO,,etl,1662994248696,
HASH_-756898651188295630,Normaal sinusritme met sinusaritmie,16056,,1.00,APPROVED,EQUAL,Stijn Dupulthys,1663000858600,4142265,ECG: normal sinus rhythm,Condition,MAPS_TO,,etl,1662994248696,
