sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
HASH_7767159512232334452,Abnormal,408034,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,0,Unmapped,,MAPS_TO,"",etl,1663589434908,
HASH_3220856416336700633,Normaal sinusritme,251736,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4142265,ECG: normal sinus rhythm,,MAPS_TO,"",etl,1663589434908,
HASH_-2277131525742498163,Abnormaal ECG,220052,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,320536,Electrocardiogram abnormal,,MAPS_TO,"",etl,1663589434908,
HASH_-7932940323671325013,Normal,184158,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,0,Unmapped,,MAPS_TO,"",etl,1663589434908,
HASH_-1144257436941280871,Borderline Abnormal,94189,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,0,Unmapped,,MAPS_TO,"",etl,1663589434908,
HASH_-8531002339391904778,Normaal ECG,85787,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4065279,ECG normal,,MAPS_TO,"",etl,1663589434908,
HASH_-8027982575432148504,Asdeviatie naar links,60571,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4215406,Left axis deviation,,MAPS_TO,"",etl,1663589434908,
HASH_395734140277650206,"*** Gegevens van slechte kwaliteit, interpretatie kan nadelig worden beïnvloed",52493,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4088345,Poor ECG quality,,MAPS_TO,"",etl,1663589434908,
HASH_6142402376680734474,Sinusbradycardie,46623,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4138456,ECG: sinus bradycardia,,MAPS_TO,"",etl,1663589434908,
HASH_1549625554017442739,Marginaal ECG,42858,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4091453,Borderline abnormal ECG,,MAPS_TO,"",etl,1663589434908,
HASH_-9185539648782836285,probably abnormal ECG,42542,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,0,Unmapped,,MAPS_TO,"",etl,1663589434908,
HASH_-776248356402638775,Laag voltage QRS,38302,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4088499,Low QRS voltages,,MAPS_TO,"",etl,1663589434908,
HASH_576662422671371321,Rechter-bundeltakblok,37712,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4064460,EKG: right bundle branch block,,MAPS_TO,"",etl,1663589434908,
HASH_-510378371250248381,Atriumfibrilleren,36250,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4064452,ECG: atrial fibrillation,,MAPS_TO,"",etl,1663589434908,
HASH_7245766350521897606,"Inferior infarct , leeftijd onbepaald",32266,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4247796,Inferior myocardial infarction on electrocardiogram,,MAPS_TO,"",etl,1663589434908,
HASH_-6778911935697221328,ST \T\ T-golf afwijkingen,30593,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,0,Unmapped,,MAPS_TO,"",etl,1663589434908,
HASH_2754590679178395272,Sinustachycardie,28060,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4140598,ECG: sinus tachycardia,,MAPS_TO,"",etl,1663589434908,
HASH_-3359929098135780498,Sinusritme met 1e graads AV-blok,26203,,1,UNCHECKED,UNREVIEWED,etl,1663589434908,4145513,ECG: sinus rhythm,,MAPS_TO,"",etl,1663589434908,
