row,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:additionalInfo,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer,extra_eh,free_text_eh
,HIXVRAGENLIJSTEN_0005193562_0000004191,positief,2,,HPV/p16 status,0.66,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,0,Positive,Meas Value,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0005193563_0000004191,negatief,8,,HPV/p16 status,0.73,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,0,Negative,Meas Value,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0005193564_0000004191,ongekend,2,,HPV/p16 status,0.56,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,0,Unknown,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858278_0000010445,"8253/2 - Adenocarcinoma in situ van de long, mucineus(C34._)",1,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,36402982,"Adenocarcinoma in situ of lung, mucinous",Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858315_0000010445,"8265/3 - Micropapillair adenocarcinoom(C18._, C19.9, C20.9, C34._)",1,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,42872900,Micropapillary carcinoma,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858260_0000010445,8249/3 - Atypische carcinoïdtumor,4,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4133297,Neuroendocrine tumor grade 2,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858574_ZH00001638,8430/3 - Muco-epidermoïd carcinoom,4,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4253608,Mucoepidermoid carcinoma,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015858574_0000010445,8430/3 - Muco-epidermoïd carcinoom,4,,Histologische diagnose,0.29,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4253608,Mucoepidermoid carcinoma,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857789_ZH00001638,8013/3 - Gemengd grootcellig neuro-endocrien carcinoom,1,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029971,Large cell neuroendocrine carcinoma,Observation,MAPS TO,44498657,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857789_0000010445,8013/3 - Gemengd grootcellig neuro-endocrien carcinoom,1,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4029971,Large cell neuroendocrine carcinoma,Observation,MAPS TO,44498657,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857822_ZH00001638,8045/3 - Gemengd kleincellig carcinoom,1,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4065083,Combined small cell carcinoma,Observation,MAPS TO,44498675,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857822_0000010445,8045/3 - Gemengd kleincellig carcinoom,1,,Histologische diagnose,0.28,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4065083,Combined small cell carcinoma,Observation,MAPS TO,44498675,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857797_0000010445,"8022/3 - Pleomorf carcinoom",1,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4055959,Pleomorphic carcinoma,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857797_ZH00001638,"8022/3 - Pleomorf carcinoom",1,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4055959,Pleomorphic carcinoma,Observation,MAPS TO,,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857750_0000010445,"8000/3 - Neoplasma, maligne",4,,Histologische diagnose,0.43,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology) -> OK 4312226 is de standard map hiervan",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857752_0000010445,"8000/3 - Tumor, maligne, NNO",4,,Histologische diagnose,0.45,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology)",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857754_0000010445,8000/3 - Maligniteit,28,,Histologische diagnose,0.43,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4312326,"Neoplasm, malignant (primary)",Observation,MAPS TO,"voorstel: 44498001 (class ICD-O histology)",AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857778_0000010445,"8010/3 - Carcinoom, NNO",2,,Histologische diagnose,0.22,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4266638,Malignant epithelial neoplasm - category,Observation,MAPS TO,44498651,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
,HIXVRAGENLIJSTEN_0015857787_0000010445,"8012/3 - Grootcellig carcinoom, NNO",20,,Histologische diagnose,0.32,APPROVED,REVIEWED,AZD DEMO USER,2021-12-23,4331315,Large cell carcinoma,Observation,MAPS TO,44498656,AZD DEMO USER,2021-12-23,ALL AZD USERS,,
