,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:additionalInfo,ADD_INFO:prescriptionID,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
0,MEDICATIE_CS00187902,PARACETAMOL TABLET 1000MG,22364,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19107244,acetaminophen 1000 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
1,MEDICATIE_CS00185604,PANTOPRAZOL TABLET MSR 40MG,13975,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41302588,pantoprazole 40 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
2,MEDICATIE_CS00184359,ALIZAPRIDE TABLET 50MG,11842,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,19063922,alizapride 50 MG Oral Tablet,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
3,MEDICATIE_CS00120848,COMBIVENT UNIT DOSE VERNEVELOPLOSSING FLACON 2.5ML,11041,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,21128166,2.5 ML Albuterol 1 MG/ML / Ipratropium 0.2 MG/ML Inhalant Solution [Combivent],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
4,MEDICATIE_CS00187478,PARACETAMOL INFVLST 10MG/ML FL 100ML,10671,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,41415630,100 ML Acetaminophen 10 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
5,MEDICATIE_CS00187923,SALBUTAMOL/IPRATROPIUM VERNEVELVLST 1/0.2MG/ML FL,10464,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43011917,albuterol 1 MG/ML / ipratropium bromide 0.2 MG/ML Inhalation Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
6,MEDICATIE_P_BE000935,STEREOFUNDIN/GLUCOSE INFUSIEVLOEISTOF ZAK 1000ML,8570,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,43725208,Glucose Injectable Solution [Sterofundin],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
7,MEDICATIE_H_BE001322,ASAFLOW TABLET 80MG,8026,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,36786441,Aspirin 80 MG [Asaflow],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
8,MEDICATIE_P_B0000048,MACROGOL/ZOUTEN DRANK (MOVICOL),7106,,,,1,APPROVED,EQUAL,Kim Denturck,1645030148036,41050131,lauromacrogols / Potassium / Sodium Oral Solution [Movicol],Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
9,MEDICATIE_CS00188887,NORADRENALINE INFOPL CONC 1MG/ML AMP  4ML,6581,,,,1,APPROVED,EQUAL,Dupulthys Stijn,1645030148036,35779832,4 ML Norepinephrine 1 MG/ML Injectable Solution,Drug,MAPS_TO,AUTO MAPPED,etl,1645030148036,
