sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MEDICATIE_000002,IM,1944,,0.37,APPROVED,EQUAL,Kim Denturck,1637675511233,4302612,Intramuscular route,Route,MAPS_TO,,Louise,1637673585312,
MEDICATIE_000005,IV,222236,,0.25,APPROVED,EQUAL,Louise,1637673621993,4171047,Intravenous route,Route,MAPS_TO,,Louise,1637673619928,
MEDICATIE_000006,NEUS,790,,0.39,APPROVED,EQUAL,Louise,1637667220125,4262914,Nasal route,Route,MAPS_TO,,Louise,1637667219438,
MEDICATIE_000111,EPI/PERINEU,8,,0.15,APPROVED,EQUAL,Louise,1638177036426,4157761,Perineural route,Route,MAPS_TO,"is EPI = epidural? Dan is er geen gemeenschappelijke ouder. Dus dan custom concept of unmapped. Stijn zou gaan voor 'perineural route', wat ongeveer beide bevat. Louise approved.",Kim Denturck,1637675999435,
MEDICATIE_000128,INTRAVITR.,61,,0.32,APPROVED,EQUAL,Louise,1637668281626,4302785,Intravitreal route,Route,MAPS_TO,,Louise,1637668280673,
MEDICATIE_000063,URETHRAAL,461,,0.33,APPROVED,EQUAL,Louise,1637667370405,4304571,Ureteral route,Route,MAPS_TO,,Louise,1637667369836,
MEDICATIE_000159,PAR/VESICAL,2,,0.21,APPROVED,EQUAL,Louise,1638177104304,0,Unmapped,,MAPS_TO,"PAR = parenteraal = niet langs mond of kont? Bedoelen ze 'parenteraal, namelijk vesicaal' of 'parenteraal of vesicaal'; ik zou gaan voor het eerste, maar misschien moet de medicatie ervan ook bekeken worden. Obv medicatie, heeft Louise naar 0 gemapped (slechts 2 records in DB).",,0,
MEDICATIE_000054,GASTR-ENTER,950,,0.30,APPROVED,EQUAL,Louise,1637666989381,4186834,Gastroenteral route,Route,MAPS_TO,,Louise,1637666988109,
MEDICATIE_000001,NVT,258,,0.18,APPROVED,EQUAL,Dupulthys Stijn,1637835275718,45956875,Route of administration not applicable,Route,MAPS_TO,"Niet van toepassing, dus ok",Kim Denturck,1637676139322,
MEDICATIE_000107,ORAAL/RECT,106,,0.31,APPROVED,EQUAL,Dupulthys Stijn,1637837460817,40487501,Digestive tract route,Route,MAPS_TO,Lijkt mij de beste ouder,Dupulthys Stijn,1637837453004,
