sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_TREATINT_999,Ongekend,-1,,0.55,APPROVED,EQUAL,Louise,1643375805048,4129922,Unknown,Observation,MAPS_TO,,Louise,1643375803797,
AWELL_TX_initial_nivolumab,Nivolumab,-1,,1.00,APPROVED,EQUAL,Louise,1643373838453,35803677,Nivolumab monotherapy,Regimen,MAPS_TO,,Louise,1643373837102,
AWELL_TX_initial_vac,VAC,-1,,1.00,APPROVED,EQUAL,Louise,1643373677700,35806944,CAV,Regimen,MAPS_TO,,Louise,1643373676888,
AWELL_TX_initial_pemetrexed_mono,Pemetrexed mono,-1,,0.87,APPROVED,EQUAL,Louise,1643373804355,35804168,Pemetrexed monotherapy,Regimen,MAPS_TO,,Louise,1643373803687,
AWELL_TX_initial_cisplatinum_vinorelbine,Cisplatinum vinorelbine,-1,,0.83,APPROVED,EQUAL,Louise,1643373898103,35804260,Cisplatin and Vinorelbine,Regimen,MAPS_TO,,Louise,1643373897449,
AWELL_TREATINT_1,Curatief / radicaal,-1,,0.26,APPROVED,EQUAL,Louise,1643375449576,4162591,Curative - procedure intent,Observation,MAPS_TO,,Louise,1643375448750,
AWELL_TX_initial_carboplatinum_gemcitabine,Carboplatinum gemcitabine,-1,,0.84,APPROVED,EQUAL,Louise,1643374040665,35804156,Carboplatin and Gemcitabine (GCb),Regimen,MAPS_TO,,Louise,1643374040000,
AWELL_TX_initial_carboplatinum_etoposide_dzh,Carboplatinum etoposide dzh,-1,,0.58,APPROVED,EQUAL,Louise,1643374425198,35806400,Carboplatin and Etoposide (CE),Regimen,MAPS_TO,,Louise,1643374424672,
AWELL_TX_no_treatment_palliative,Geen behandeling (PROMs 6 weken),-1,,0.28,APPROVED,EQUAL,Louise,1643375689253,45876661,No treatment given,Meas Value,MAPS_TO,,Louise,1643375682413,
AWELL_TX_no_treatment,Geen behandeling (PROMs 3-6-12 maand),-1,,0.25,APPROVED,EQUAL,Louise,1643375689253,45876661,No treatment given,Meas Value,MAPS_TO,,Louise,1643375682413,
AWELL_TX_initial_pembrolizumab,Pembrolizumab,-1,,1.00,APPROVED,EQUAL,Louise,1643373817348,35803678,Pembrolizumab monotherapy,Regimen,MAPS_TO,,Louise,1643373815816,
AWELL_TX_durvalumab_4weken,Durvalumab 4 weken cyclus,-1,,0.49,APPROVED,EQUAL,Louise,1643373869251,35804164,Durvalumab monotherapy,Regimen,MAPS_TO,,Louise,1643373868265,
