sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
KUUR_0000002011,*ST PDC-LUNG-101  PDC*LUNG01 7 000 000 cellen,12,,0.14,FLAGGED,EQUAL,Louise,1639996401732,35806061,VDC,Regimen,MAPS_TO,,<auto>,1639989134331,
KUUR_0000001344,*Carboplatine-Pemetrexed-Pembrolizumab,172,,0.68,APPROVED,EQUAL,Louise,1639989784821,35806403,"Carboplatin, Pemetrexed, Pembrolizumab",Regimen,MAPS_TO,,<auto>,1639989134351,
KUUR_0000001460,*Pembrolizumab-Cisplatine-Gemcitabine,6,,0.50,UNCHECKED,UNREVIEWED,,0,912081,Cisplatin and Gemcitabine (GC) and Atezolizumab,Regimen,MAPS_TO,,<auto>,1639989134355,
KUUR_0000001818,*Denosumab (Xgeva) 120 mg SC Q6W,23,,0.21,APPROVED,EQUAL,Louise,1639990204421,35804178,Denosumab monotherapy,Regimen,MAPS_TO,,<auto>,1639989134362,
KUUR_ZH00000524,*ST GO29438 Pemetrexed = Alimta,1,,0.28,APPROVED,EQUAL,Louise,1639994341426,35804168,Pemetrexed monotherapy,Regimen,MAPS_TO,,Louise,1639994340709,
KUUR_ZH00000476,*Carboplatine - Etoposide,7,,0.63,APPROVED,EQUAL,Louise,1639989698333,35806400,Carboplatin and Etoposide (CE),Regimen,MAPS_TO,,<auto>,1639989134430,
KUUR_ZH00001070,*ST CA209-9LA Nivolumab-Ipilimumab-Cisplatine-Pemetrexed Cyclus 1,2,,0.35,APPROVED,EQUAL,Louise,1639994236303,905591,"Cisplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,MAPS_TO,,Louise,1639994233436,
KUUR_0000002012,*ST PDC-LUNG-101  PDC*LUNG01 70 000 000 cellen,13,,0.14,FLAGGED,EQUAL,Louise,1639996401732,35806061,VDC,Regimen,MAPS_TO,,<auto>,1639989134665,
KUUR_0000001745,Ambisome bereiding via apotheek 5 mg/kg,1,,0.11,UNCHECKED,UNREVIEWED,,0,35804622,Chlorambucil monotherapy,Regimen,MAPS_TO,,<auto>,1639989134680,
KUUR_0000001481,*Pembrolizumab-Pemetrexed,249,,0.68,APPROVED,EQUAL,Louise,1639990817023,35806404,Pemetrexed and Pembrolizumab,Regimen,MAPS_TO,,<auto>,1639989134689,
KUUR_ZH00000493,*Docetaxel Q3W,87,,0.46,APPROVED,EQUFAL,Louise,1639990250199,35804162,Docetaxel monotherapy,Regimen,MAPS_TO,,<auto>,1639989134769,
KUUR_ZH00000909,*Carboplatine-Vinorelbine dag 1-8,44,,0.52,APPROVED,EQUAL,Louise,1639989827134,35806405,Carboplatin and Vinorelbine,Regimen,MAPS_TO,,<auto>,1639989134787,
KUUR_0000001462,*Carboplatine - Etoposide- Atezolizumab,5,,0.70,APPROVED,EQUAL,Louise,1639989700469,35806941,Carboplatin and Etoposide (CE) and Atezolizumab,Regimen,MAPS_TO,,<auto>,1639989134940,
KUUR_0000002061,*ST GO41767 Atezolizumab-Tiragolumab Maintenance,6,,0.40,UNCHECKED,UNREVIEWED,,0,35804138,Atezolizumab monotherapy,Regimen,MAPS_TO,,<auto>,1639989134965,
KUUR_ZH00001071,*ST CA209-9LA Nivolumab-Ipilimumab-Cisplatine-Pemetrexed Cyclus 2,6,,0.35,APPROVED,EQUAL,Louise,1639994236303,905591,"Cisplatin, Pemetrexed, Ipilimumab, Nivolumab",Regimen,MAPS_TO,,Louise,1639994233436,
KUUR_0000002177,*ST SAPPHIRE  Docetaxel Q3W,12,,0.36,APPROVED,EQUAL,Louise,1639994648078,35804162,Docetaxel monotherapy,Regimen,MAPS_TO,,<auto>,1639989135092,
KUUR_ZH00000477,*Pemetrexed,17,,0.52,APPROVED,EQUAL,Louise,1639990851212,35804168,Pemetrexed monotherapy,Regimen,MAPS_TO,,Louise,1639990847728,
KUUR_0000001723,Cellcept 2x500mg/d 1week,4,,0.13,APPROVED,EQUAL,Louise,1639991140194,35805921,Mycophenolate mofetil monotherapy,Regimen,MAPS_TO,,Louise,1639991139392,
KUUR_ZH00000494,*Docetaxel Q3W + Vargatef,28,,0.36,APPROVED,EQUAL,Louise,1639990268222,42542355,Docetaxel and Nintedanib,Regimen,MAPS_TO,,Louise,1639990267393,
KUUR_ZH00000485,*Cisplatine Radiosensitising Dose (Ambulant),12,,0.33,APPROVED,EQUAL,Louise,1639990019107,35804144,Cisplatin and RT,Regimen,MAPS_TO,,Louise,1639990018189,
KUUR_0000001511,*Carboplatine - Etoposide- Atezolizumab 1e cyclus,23,,0.59,APPROVED,EQUAL,Louise,1639989700837,35806941,Carboplatin and Etoposide (CE) and Atezolizumab,Regimen,MAPS_TO,,<auto>,1639989135432,
KUUR_0000002176,*ST SAPPHIRE  Nivolumab 240 mg Q2W,12,,0.27,APPROVED,EQUAL,Louise,1639994661440,35803677,Nivolumab monotherapy,Regimen,MAPS_TO,,Louise,1639994660307,
KUUR_0000001533,*ST CANOPY-2 Canakinumab + Docetaxel Q3W - safety run in,22,,0.29,UNCHECKED,UNREVIEWED,,0,35804162,Docetaxel monotherapy,Regimen,MAPS_TO,,<auto>,1639989135440,
KUUR_0000001962,*ST GO41767 Atezolizumab-Tiragolumab-Carboplatine -Etoposide 1e cyclus,2,,0.43,UNCHECKED,UNREVIEWED,,0,35806941,Carboplatin and Etoposide (CE) and Atezolizumab,Regimen,MAPS_TO,,<auto>,1639989135470,
KUUR_ZH00000492,*Docetaxel Weekly - 3/4W,56,,0.47,APPROVED,EQUAL,Louise,1639990280574,35804162,Docetaxel monotherapy,Regimen,MAPS_TO,,Louise,1639990279609,
KUUR_ZH00000115,*Cisplatine Weekly - Ambulant,13,,0.40,APPROVED,EQUAL,Louise,1639990057633,35803573,Cisplatin monotherapy,Regimen,MAPS_TO,,Louise,1639990056911,
