sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MK,NOORD-MACEDONIË,1,,0.42,UNCHECKED,UNREVIEWED,,0,41948802,Linard-Malval,Geography,MAPS_TO,,<auto>,1658924390347,
IM,ISLE OF MAN,1,,0.70,UNCHECKED,UNREVIEWED,,0,42069388,Isle,Geography,MAPS_TO,,<auto>,1658924390352,
ST,SAO TOMÉ EN PRINCIPE,1,,0.52,UNCHECKED,UNREVIEWED,,0,42029490,San Tomé de Insua,Geography,MAPS_TO,,<auto>,1658924390363,
SL,SIERRA LEONE,1,,0.66,UNCHECKED,UNREVIEWED,,0,42030067,Lasierra,Geography,MAPS_TO,,<auto>,1658924390372,
UA,OEKRAÏNE,1,,0.51,UNCHECKED,UNREVIEWED,,0,41951541,Montaïn,Geography,MAPS_TO,,<auto>,1658924390391,
FI,FINLAND,1,,0.96,UNCHECKED,UNREVIEWED,,0,42043078,Finlane,Geography,MAPS_TO,,<auto>,1658924390424,
IE,IERLAND,1,,0.83,UNCHECKED,UNREVIEWED,,0,42024029,Erla,Geography,MAPS_TO,,<auto>,1658924390426,
MG,MADAGASKAR,1,,0.59,UNCHECKED,UNREVIEWED,,0,42046190,Alaska,Geography,MAPS_TO,,<auto>,1658924390435,
HT,HAÏTI,1,,0.55,UNCHECKED,UNREVIEWED,,0,41954099,Païta,Geography,MAPS_TO,,<auto>,1658924390548,
CV,KAAPVERDIË,1,,0.52,UNCHECKED,UNREVIEWED,,0,41934741,Capvern,Geography,MAPS_TO,,<auto>,1658924390626,
NZ,NIEUW-ZEELAND,1,,0.56,UNCHECKED,UNREVIEWED,,0,42033786,Nieuw-Roden,Geography,MAPS_TO,,<auto>,1658924390660,
BW,BOTSWANA,1,,0.60,UNCHECKED,UNREVIEWED,,0,42079478,Swan,Geography,MAPS_TO,,<auto>,1658924390703,
LU,LUXEMBURG,1,,1.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
RS,SERVIË,1,,0.34,UNCHECKED,UNREVIEWED,,0,41962656,Servin,Geography,MAPS_TO,,<auto>,1658924390771,
UZ,OEZBEKISTAN,1,,0.46,UNCHECKED,UNREVIEWED,,0,41974988,Fitzbek,Geography,MAPS_TO,,<auto>,1658924390776,
SB,SALOMONSEILANDEN,1,,0.55,UNCHECKED,UNREVIEWED,,0,41962366,Seillans,Geography,MAPS_TO,,<auto>,1658924390779,
LC,SAINT LUCIA,1,,0.60,UNCHECKED,UNREVIEWED,,0,42025651,Luciana,Geography,MAPS_TO,,<auto>,1658924390843,
