concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
LABO_CS002255,Irregular antibodies [Presence] on Red Blood Cells,Measurement,AZDELTA,Lab Test,S,CS002255,2022-07-28,2099-12-31,
LABO_BE002865,Measurement of glucose at start of glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,BE002865,2022-07-28,2099-12-31,
LABO_GD06,Measurement of glucose 6 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD06,2022-07-28,2099-12-31,
LABO_GD07,Measurement of glucose 7 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD07,2022-07-28,2099-12-31,
LABO_GD08,Measurement of glucose 8 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD08,2022-07-28,2099-12-31,
LABO_GD09,Measurement of glucose 9 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD09,2022-07-28,2099-12-31,
LABO_GD10,Measurement of glucose 10 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD10,2022-07-28,2099-12-31,
LABO_GD11,Measurement of glucose 11 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD11,2022-07-28,2099-12-31,
LABO_GD12,Measurement of glucose 12 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD12,2022-07-28,2099-12-31,
LABO_GD13,Measurement of glucose 13 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD13,2022-07-28,2099-12-31,
LABO_GD14,Measurement of glucose 14 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD14,2022-07-28,2099-12-31,
LABO_GD15,Measurement of glucose 15 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD15,2022-07-28,2099-12-31,
LABO_GD16,Measurement of glucose 16 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD16,2022-07-28,2099-12-31,
LABO_GD17,Measurement of glucose 17 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD17,2022-07-28,2099-12-31,
LABO_GD18,Measurement of glucose 18 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD18,2022-07-28,2099-12-31,
LABO_GD19,Measurement of glucose 19 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD19,2022-07-28,2099-12-31,
LABO_GD20,Measurement of glucose 20 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD20,2022-07-28,2099-12-31,
LABO_GD21,Measurement of glucose 21 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD21,2022-07-28,2099-12-31,
LABO_GD22,Measurement of glucose 22 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD22,2022-07-28,2099-12-31,
LABO_GD23,Measurement of glucose 23 hours after glucose challenge for glucose tolerance test,Measurement,AZDELTA,Lab Test,S,GD23,2022-07-28,2099-12-31,
LABO_00000884,Neutrophils/100 lymphocytes,Measurement,AZDELTA,Lab Test,S,00000884,2022-07-28,2099-12-31,
LABO_00000026,Red blood cell test observable,Measurement,AZDELTA,Lab Test,S,00000026,2022-07-28,2099-12-31,
