sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:extra_codes,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
LABO_BE000012,Hemoglobin - Hemoglobine (bloed) - hemoglobine - BE000012,3472116,,718-7,1.00,APPROVED,EQUAL,etl,1660028797633,3000963,Hemoglobin [Mass/volume] in Blood,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002858,Leukocytes - Witte bloedcellen (bloed) - in #/volume - automatische telling - leucocytose - BE002858,3319601,,6690-2,1.00,APPROVED,EQUAL,etl,1660028797633,3000905,Leukocytes [#/volume] in Blood by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ002079,Erythrocytes - Rode bloedcellen (bloed) - erythrocyten - AZ002079,3190490,,789-8,1.00,APPROVED,EQUAL,etl,1660028797633,3020416,Erythrocytes [#/volume] in Blood by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE000013,Hematocrit - Hematocriet (bloed) - Hematocriet - BE000013,3161675,,4544-3,1.00,APPROVED,EQUAL,etl,1660028797633,3023314,Hematocrit [Volume Fraction] of Blood by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001731,Erythrocyte mean corpuscular hemoglobin - Gemiddeld hemoglobine gehalte per cel (rode bloedcellen) - MCH - AZ001731,3131825,,785-6,1.00,APPROVED,EQUAL,etl,1660028797633,3012030,MCH [Entitic mass] by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001733,Erythrocyte mean corpuscular hemoglobin concentration - Gemiddelde hemoglobineconcentratie per cel (rode bloedcellen) - MCHC - AZ001733,3131822,,786-4,1.00,APPROVED,EQUAL,etl,1660028797633,3009744,MCHC [Mass/volume] by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001735,Erythrocyte mean corpuscular volume - Gemiddeld volume per cel (rode bloedcellen) - MCV - AZ001735,3131802,,787-2,1.00,APPROVED,EQUAL,etl,1660028797633,3023599,MCV [Entitic volume] by Automated count,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_BE002862,Creatinine - Creatinine (serum/plasma) [mg/dL] - creatinine - BE002862,3027862,,2160-0,1.00,APPROVED,EQUAL,etl,1660028797633,3016723,Creatinine [Mass/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_AZ001528,Potassium - Kalium (serum/plasma) [mmol/L] - kalium - AZ001528,3008608,,2823-3,1.00,APPROVED,EQUAL,etl,1660028797633,3023103,Potassium [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
LABO_CS002372,Sodium - Natrium (serum/plasma) [mmol/L] - natrium - CS002372,2938259,,2951-2,1.00,APPROVED,EQUAL,etl,1660028797633,3019550,Sodium [Moles/volume] in Serum or Plasma,Measurement,MAPS_TO,AUTO MAPPED,etl,1660028797633,
