sourceCode,sourceName,sourceFrequency,additionalInfo
LABO_AZ002564_+,+,264,glucose
LABO_AZ002566_+,+,984,leucocyten
LABO_AZ002570_+,+,670,hemoglobine
LABO_AZ002552_+,+,92,bilirubine
LABO_AZ002564_++,++,242,glucose
LABO_AZ002566_++,++,702,leucocyten
LABO_AZ002570_++,++,653,hemoglobine
LABO_AZ002552_++,++,58,bilirubine
LABO_AZ002564_+++,+++,360,glucose
LABO_AZ002566_+++,+++,1191,leucocyten
LABO_AZ002570_+++,+++,897,hemoglobine
LABO_AZ002552_+++,+++,46,bilirubine
LABO_AZ002564_++++,++++,228,glucose
LABO_AZ002570_++++,++++,5,hemoglobine
LABO_AZ002552_Moderate,Moderate,3,bilirubine
LABO_AZ002215_Negatief,Negatief,23,HIT screening (heparine induced thrombopenie)
LABO_AZ002552_Negatief,Negatief,1734,bilirubine
LABO_AZ002564_Negatief,Negatief,4827,glucose
LABO_AZ002566_Negatief,Negatief,4174,leucocyten
LABO_AZ002570_Negatief,Negatief,4071,hemoglobine
LABO_AZ002570_Positief,Positief,8,hemoglobine
LABO_AZ002552_Positief,Positief,2,bilirubine
LABO_AZ002564_Positief,Positief,2,glucose
LABO_AZ002564_Trace,Trace,20,glucose
LABO_AZ002552_negatief,negatief,831,bilirubine
LABO_AZ002564_negatief,negatief,1621,glucose
LABO_AZ002566_negatief,negatief,483,leucocyten
LABO_AZ002570_negatief,negatief,508,hemoglobine
LABO_AZ002564_spoor,spoor,263,glucose
LABO_AZ002566_spoor,spoor,311,leucocyten
LABO_AZ002570_spoor,spoor,940,hemoglobine
LABO_AZ002552_spoor,spoor,13,bilirubine
