sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
EPD_0000003312,Coronavirus 2019-nCoV verdenking (mogelijke casus na bevraging),787,,0.0,APPROVED,EQUAL,etl,1645031057674,37311060,Suspected COVID-19,Observation,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000005783,COPD. chronische obstructieve longaandoening [COPD]. Chronic obstructive lung disease (disorder). chronic obstructive pulmonary disease,765,,1.0,APPROVED,EQUAL,etl,1645031057674,255573,Chronic obstructive lung disease,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000002655,niet-insuline-afhankelijke diabetes mellitus. diabetes mellitus type 2. niet-insuline-afhankelijke diabetes mellitus type 2 zonder complicaties. DM 2. diabetes mellitus type 2 [DM2]. Diabetes mellitus type 2 (disorder),708,,1.0,APPROVED,EQUAL,etl,1645031057674,201826,Type 2 diabetes mellitus,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000035644,atriumfibrilleren. atrial fibrillation. atriumfibrilleren [AF]. VKF. Atrial fibrillation (disorder). voorkamerfibrillatie. boezemfibrilleren. atriumfibrillatie,432,,1.0,APPROVED,EQUAL,etl,1645031057674,313217,Atrial fibrillation,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000005097,arteriële hypertensie. idiopathische hoge bloeddruk. Essential hypertension (disorder). essentiële hypertensie. primaire hypertensie. AHT,364,,1.0,APPROVED,EQUAL,etl,1645031057674,320128,Essential hypertension,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CS01301564,Maligne neoplasma van bronchus en long (longcarcinoom),215,,0.0,APPROVED,EQUAL,etl,1645031057674,443388,Malignant tumor of lung,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000040223,Invasive adenocarcinoma of lung (disorder). invasief adenocarcinoom van long,206,,0.0,APPROVED,EQUAL,etl,1645031057674,4112738,Adenocarcinoma of lung,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000009770,acute nierinsufficiëntie. overige gespecificeerde vormen van acute nierinsufficiëntie. Acute renal failure syndrome (disorder),204,,1.0,APPROVED,EQUAL,etl,1645031057674,197320,Acute renal failure syndrome,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CS01485646,Andere,204,,0.0,APPROVED,EQUAL,etl,1645031057674,0,Unmapped,,MAPS_TO,AUTO MAPPED,etl,1645031057674,
EPD_CLDT0000050463,niet-kleincellig longcarcinoom. Non-small cell lung cancer (disorder),194,,1.0,APPROVED,EQUAL,etl,1645031057674,4115276,Non-small cell lung cancer,Condition,MAPS_TO,AUTO MAPPED,etl,1645031057674,
