sourceCode,sourceName,sourceFrequency
VRAGENLIJST_CS00000188,Roken,267824
VRAGENLIJST_CS00000190,Soort tabak,55655
VRAGENLIJST_CS00029257,Aantal sigaretten per dag,37729
VRAGENLIJST_CS00000189,Rookt(e) sinds,17782
VRAGENLIJST_CS00000104,Gestopt met roken sinds,17693
VRAGENLIJST_CS00009474,Aantal packyears,16156
VRAGENLIJST_CS00014981,Opmerkingen roken,7437
VRAGENLIJST_CS00000004,Aantal sigaren per dag,1956
VRAGENLIJST_CS00029292,Aantal stuks shag per dag,119
VRAGENLIJST_CS00029293,Aantal stuks pijp per dag,101
