sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_EORTC_QLQ_LC29_Q32,Heb je bloed opgehoest?,341,,0.37,UNCHECKED,UNREVIEWED,,0,35960397,TNFRSF11B (TNF receptor superfamily member 11b) gene variant measurement,Measurement,MAPS_TO,,<auto>,1637240933681,
AWELL_EORTC_QLQ_LC29_Q52,Heb je een droge hoest gehad?,341,,0.40,UNCHECKED,UNREVIEWED,,0,42032832,Drogeham,Geography,MAPS_TO,,<auto>,1637240933962,
AWELL_EORTC_QLQ_LC29_Q31,Heb je gehoest?,341,,0.36,UNCHECKED,UNREVIEWED,,0,41975302,Gehofen,Geography,MAPS_TO,,<auto>,1637240936464,
AWELL_EORTC_QLQ_LC29_Q37,Heb je problemen gehad met slikken?,341,,0.42,UNCHECKED,UNREVIEWED,,0,4134034,Dikkeni,Observation,MAPS_TO,,<auto>,1637240936542,
AWELL_EORTC_QLQ_LC29_Q33,Ben je buiten adem geweest bij het rusten?,341,,0.30,UNCHECKED,UNREVIEWED,,0,42033661,Mensingeweer,Geography,MAPS_TO,,<auto>,1637240937464,
AWELL_EORTC_QLQ_LC29_Q36,Heb je een pijnlijke mond of tong gehad?,341,,0.42,UNCHECKED,UNREVIEWED,,0,42034720,Spijkenisse,Geography,MAPS_TO,,<auto>,1637240937862,
AWELL_EORTC_QLQ_LC29_Q41,Heb je pijn in jouw arm of schouder gehad?,341,,0.31,UNCHECKED,UNREVIEWED,,0,42034199,Pijnacker,Geography,MAPS_TO,,<auto>,1637240938290,
AWELL_EORTC_QLQ_LC29_Q38,Heb je tintelende handen of voeten gehad?,341,,0.24,UNCHECKED,UNREVIEWED,,0,40884012,Acetaminophen 500 MG Oral Tablet Box of 20 by Gehe Handel,Drug,MAPS_TO,,<auto>,1637240938563,
AWELL_LUNGCANCER_SURGERY_BOOL,Heb je reeds een operatie ondergaan voor longkanker?,341,,0.30,UNCHECKED,UNREVIEWED,,0,42032963,Gaanderen,Geography,MAPS_TO,,<auto>,1637240941087,
AWELL_EORTC_QLQ_LC29_Q45,Ben je duizelig geweest?,341,,0.45,UNCHECKED,UNREVIEWED,,0,42032770,Duizel,Geography,MAPS_TO,,<auto>,1637240942098,
AWELL_EORTC_QLQ_LC29_Q34,Ben je buiten adem geweest bij het wandelen?,341,,0.24,UNCHECKED,UNREVIEWED,,0,42035120,Wijk bij Duurstede,Geography,MAPS_TO,,<auto>,1637240945528,
AWELL_EORTC_QLQ_LC29_Q51,Heb je jezelf zorgen gemaakt over je gezondheid in de toekomst?,341,,0.13,UNCHECKED,UNREVIEWED,,0,36543938,"Marginal zone B-cell lymphoma, NOS, of overlapping lesion of female genital organs",Condition,MAPS_TO,,<auto>,1637240946843,
AWELL_EORTC_QLQ_LC29_Q49,Ben je bang geweest voor progressie van jouw tumor?,341,,0.32,UNCHECKED,UNREVIEWED,,0,4168352,Tumor progression,Condition,MAPS_TO,,<auto>,1637240947375,
AWELL_EORTC_QLQ_LC29_Q48,Heb je problemen gehad met spreken?,341,,0.36,UNCHECKED,UNREVIEWED,,0,41980328,Reken,Geography,MAPS_TO,,<auto>,1637240947782,
AWELL_EORTC_QLQ_LC29_Q35,Ben je buiten adem geweest bij het oplopen van trappen?,341,,0.18,UNCHECKED,UNREVIEWED,,0,41994199,Gewerbegebiet Buckau,Geography,MAPS_TO,,<auto>,1637240949675,
AWELL_EORTC_QLQ_LC29_Q59,Heeft jouw littekenpijn je gehinderd bij jouw dagelijkse bezigheden?,89,,0.29,UNCHECKED,UNREVIEWED,,0,42034719,Spijk,Geography,MAPS_TO,,<auto>,1637240950494,
AWELL_EORTC_QLQ_LC29_Q42,Heb je pijn in andere delen van jouw lichaam gehad?,341,,0.31,UNCHECKED,UNREVIEWED,,0,42032666,Chaam,Geography,MAPS_TO,,<auto>,1637240950726,
AWELL_EORTC_QLQ_LC29_Q46,Heb je splijtende vingernagels of teennagels gehad?,341,,0.46,UNCHECKED,UNREVIEWED,,0,41891110,De Klijte,Geography,MAPS_TO,,<auto>,1637240952504,
