sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_PR_fever_last_7_days,Hebt u in de laatste 7 dagen koorts gehad (meer dan 38°)?,3616,,0.18,UNCHECKED,UNREVIEWED,,0,36310231,I can meet basic needs and manage debt without assistance,Meas Value,MAPS_TO,,<auto>,1637241946009,
AWELL_PR_questions_about_palliative_care,"Heeft u vragen of zorgen over het levenseinde, palliatieve zorgen,...?",3633,,0.17,UNCHECKED,UNREVIEWED,,0,2108118,"Venipuncture, cutdown age 1 or over",Procedure,MAPS_TO,,<auto>,1637241953596,
AWELL_PR_proctcae_20_cough_severity,Hoe ERG was uw HOEST op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,3623,,0.24,UNCHECKED,UNREVIEWED,,0,40764756,My sleep was light in past 7 days [PROMIS],Observation,MAPS_TO,,<auto>,1637241953878,
AWELL_PR_proctcae_10_vomiting_severity,Hoe ERG was uw BRAKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,117,,0.22,UNCHECKED,UNREVIEWED,,0,40764756,My sleep was light in past 7 days [PROMIS],Observation,MAPS_TO,,<auto>,1637241954418,
AWELL_PR_proctcae_54_anxious_impact,In welke mate heeft ANGST uw gebruikelijke of dagdagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,508,,0.15,UNCHECKED,UNREVIEWED,,0,42869289,"I avoid or limit physical activity, because of concern with bleeding or bruising, in the past 7 days [FACIT]",Observation,MAPS_TO,,<auto>,1637241959662,
AWELL_PR_proctcae_55_discouraged_severity,Hoe ERG was het GEVOEL DAT NIETS U KON OPVROLIJKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,790,,0.25,UNCHECKED,UNREVIEWED,,0,41891940,Quartier Royal - Koninklijke Wijk,Geography,MAPS_TO,,<auto>,1637241959810,
AWELL_PR_proctcae_10_vomiting_frequency,Hoe VAAK hebt u GEBRAAKT in de afgelopen 7 dagen?,3619,,0.34,UNCHECKED,UNREVIEWED,,0,41972755,Braak,Geography,MAPS_TO,,<auto>,1637241966255,
AWELL_PR_wants_contact_social_department,Onze sociale dienst kan u helpen bij vragen over financiële en/of praktische zaken. Wenst u bij uw volgende afspraak in het ziekenhuis een gesprek met de sociale dienst?,448,,0.10,UNCHECKED,UNREVIEWED,,0,40768611,How many times per week on average over the past 3 months have you made yourself vomit to prevent weight gain or counteract the effects of eating [EDDS],Observation,MAPS_TO,,<auto>,1637241968601,
AWELL_PR_worrying_finullcial_practical_aspects,"Maakt u zich zorgen over de financiële en/of praktische zaken (zoals kost van behandeling en opnames, nood aan thuishulp, recht op premies,...)?",3629,,0.12,UNCHECKED,UNREVIEWED,,0,43533208,"Documentation of patient reason(s) for patient not receiving counseling for diet and physical activity (e.g., patient is not willing to discuss diet or exercise interventions to help control blood pressure, or the patient said he/she refused to make th...",Observation,MAPS_TO,,<auto>,1637241971012,
AWELL_PR_if_checked_care_team_is_not_allowed_to_contact_me,"Bij eventuele klachten zal het zorgteam u contacteren. Indien u dit <u>niet wenst</u>, gelieve dit aan te geven",1343,,0.09,UNCHECKED,UNREVIEWED,,0,4073068,Burning due to contact from steam in industrial installation,Observation,MAPS_TO,,<auto>,1637241976654,
AWELL_PR_proctcae_55_discouraged_frequency,Hoe VAAK hebt u GEVOELD DAT NIETS U KON OPVROLIJKEN in de afgelopen 7 dagen?,3632,,0.30,UNCHECKED,UNREVIEWED,,0,42034688,Slijkenburg,Geography,MAPS_TO,,<auto>,1637241979886,
