sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
EPD_CLDT0000037904,History of coronary artery bypass grafting (situation). status na coronaire bypass,828,,1.0,APPROVED,EQUAL,etl,1676565347976,4336464,Coronary artery bypass graft,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000061724,History of percutaneous coronary intervention (situation). status na percutane coronaire interventie [PCI]. status na percutane coronaire interventie,552,,1.0,APPROVED,EQUAL,etl,1676565347976,4216130,Percutaneous coronary intervention,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000015558,History of cesarean section (situation). keizersnede in anamnese. sectio caesarea in anamnese,441,,1.0,APPROVED,EQUAL,etl,1676565347976,4015701,Cesarean section,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037833,status na inbrengen pacemaker hart. History of cardiac pacemaker in situ (situation),330,,1.0,APPROVED,EQUAL,etl,1676565347976,40479553,Cardiac pacemaker in situ,Observation,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000014467,status na acuut coronair syndroom. History of acute coronary syndrome (situation). status na acuut acuut coronair syndroom,213,,1.0,APPROVED,EQUAL,etl,1676565347976,4215140,Acute coronary syndrome,Condition,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000013406,status na ontvangen levertransplantaat. status na levertransplantatie ontvanger. status na partiële levertransplantatie ontvanger (situatie),102,,1.0,APPROVED,EQUAL,etl,1676565347976,4076862,Transplantation of liver,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000015730,History of epilepsy (situation). epilepsie in anamnese,62,,1.0,APPROVED,EQUAL,etl,1676565347976,380378,Epilepsy,Condition,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037879,History of cardiac surgery (situation). status na operatie hartaandoening,50,,1.0,APPROVED,EQUAL,etl,1676565347976,4275564,Operation on heart,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037916,History of renal transplant (situation). status na niertransplantatie,46,,1.0,APPROVED,EQUAL,etl,1676565347976,4322471,Transplant of kidney,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037844,status na lumbale laminectomie. History of lumbar laminectomy (situation),42,,1.0,APPROVED,EQUAL,etl,1676565347976,4178646,Excision of lamina of lumbar vertebra,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000013425,History of laryngectomy (situation). status na laryngectomie,38,,1.0,APPROVED,EQUAL,etl,1676565347976,4217829,Laryngectomy,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000061714,conisatie in anamnese. History of cervical conization (situation),24,,1.0,APPROVED,EQUAL,etl,1676565347976,4181912,Cone biopsy of cervix,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037738,status na amputatie onderbeen. History of amputation of leg through tibia and fibula (situation),22,,1.0,APPROVED,EQUAL,etl,1676565347976,4338257,Amputation of leg through tibia and fibula,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037816,History of heart recipient (situation). status na harttransplantatie,20,,1.0,APPROVED,EQUAL,etl,1676565347976,4137127,Transplantation of heart,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000057829,status na longtransplantatie. History of being lung transplant recipient (situation),20,,1.0,APPROVED,EQUAL,etl,1676565347976,4337138,Transplant of lung,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037752,History of bone marrow transplant (situation). status na beenmergtransplantatie,16,,1.0,APPROVED,EQUAL,etl,1676565347976,4028623,Transplantation of bone marrow,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037908,status na cervicale wervelkolom-chirurgie. History of surgical procedure on cervical spine (situation),14,,1.0,APPROVED,EQUAL,etl,1676565347976,4178150,Surgical procedure on cervical spine,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037734,status na amputatie onderste extremiteit. History of lower limb amputation (situation),14,,1.0,APPROVED,EQUAL,etl,1676565347976,4219032,Amputation of lower limb,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037730,History of amputation of lower limb above knee (situation). status na amputatie bovenbeen,12,,1.0,APPROVED,EQUAL,etl,1676565347976,4195136,Amputation above-knee,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037843,History of cervical laminectomy (situation). status na cervicale laminectomie,12,,1.0,APPROVED,EQUAL,etl,1676565347976,40483740,Cervical laminectomy,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000037909,status na decompressie carpaal tunnel syndroom. History of decompression of median nerve (situation),10,,1.0,APPROVED,EQUAL,etl,1676565347976,4166080,Decompression of median nerve,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
EPD_CLDT0000057759,status na craniotomie. History of craniotomy (situation),8,,1.0,APPROVED,EQUAL,etl,1676565347976,4101626,Craniotomy,Procedure,MAPS_TO,AUTO MAPPED,etl,1676565347976,
