sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO_SOURCE_CONCEPT_ID,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MZG_10_D_D7210,"Eosinophilia, unspecified",0,,725243,1.0,APPROVED,EQUAL,etl,1676560614383,4084765,Above reference range,Meas Value,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_D7218,Eosinophilia in diseases classified elsewhere,0,,725250,1.0,APPROVED,EQUAL,etl,1676560614383,4084765,Above reference range,Meas Value,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_D7219,Other eosinophilia,0,,725251,1.0,APPROVED,EQUAL,etl,1676560614383,4084765,Above reference range,Meas Value,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O0910,"Suprvsn of preg with history of ectopic preg, unsp trimester",0,,45563043,1.0,APPROVED,EQUAL,etl,1676560614383,437611,Ectopic pregnancy,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O0911,"Suprvsn of preg with history of ectopic preg, first tri",0,,45592176,1.0,APPROVED,EQUAL,etl,1676560614383,437611,Ectopic pregnancy,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O0913,"Suprvsn of preg with history of ectopic preg, third tri",0,,45592177,1.0,APPROVED,EQUAL,etl,1676560614383,437611,Ectopic pregnancy,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O09829,"Suprvsn of preg w hx of in utero proc dur prev preg,unsp tri",0,,45558198,1.0,APPROVED,EQUAL,etl,1676560614383,4043197,Procedure on uterus,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O09829,"Suprvsn of preg w hx of in utero proc dur prev preg,unsp tri",0,,45558198,1.0,APPROVED,EQUAL,etl,1676560614383,4299735,Fetal procedure,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O320XX0,"Maternal care for unstable lie, not applicable or unsp",0,,45606579,1.0,APPROVED,EQUAL,etl,1676560614383,79091,Unstable lie,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O320XX1,"Maternal care for unstable lie, fetus 1",0,,45558242,1.0,APPROVED,EQUAL,etl,1676560614383,79091,Unstable lie,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O322XX0,"Maternal care for transverse and oblique lie, unsp",0,,45572796,1.0,APPROVED,EQUAL,etl,1676560614383,81358,Transverse OR oblique presentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O322XX1,"Maternal care for transverse and oblique lie, fetus 1",0,,45572797,1.0,APPROVED,EQUAL,etl,1676560614383,81358,Transverse OR oblique presentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O322XX2,"Maternal care for transverse and oblique lie, fetus 2",0,,45558244,1.0,APPROVED,EQUAL,etl,1676560614383,81358,Transverse OR oblique presentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O324XX0,"Maternal care for high head at term, not applicable or unsp",0,,45567916,1.0,APPROVED,EQUAL,etl,1676560614383,442088,High head at term,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O328XX0,"Maternal care for oth malpresentation of fetus, unsp",0,,45534220,1.0,APPROVED,EQUAL,etl,1676560614383,442088,High head at term,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O328XX1,"Maternal care for other malpresentation of fetus, fetus 1",0,,45572801,1.0,APPROVED,EQUAL,etl,1676560614383,4198040,Malpresentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O328XX2,"Maternal care for other malpresentation of fetus, fetus 2",0,,45596958,1.0,APPROVED,EQUAL,etl,1676560614383,4198040,Malpresentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O328XX9,"Maternal care for oth malpresentation of fetus, other fetus",0,,45534222,1.0,APPROVED,EQUAL,etl,1676560614383,4198040,Malpresentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O329XX0,"Maternal care for malpresentation of fetus, unsp, unsp",0,,45592225,1.0,APPROVED,EQUAL,etl,1676560614383,4198040,Malpresentation of fetus,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O333XX0,"Matern care for disproprtn d/t outlet contrctn of pelv, unsp",0,,45577590,1.0,APPROVED,EQUAL,etl,1676560614383,73534,Disproportion between fetal head and pelvis,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O334XX0,"Matern care for disproprtn of mix matern and fetl origin, unsp",0,,45563101,1.0,APPROVED,EQUAL,etl,1676560614383,80165,Fetal disproportion,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O335XX0,"Matern care for disproprtn d/t unusually large fetus, unsp",0,,45587314,1.0,APPROVED,EQUAL,etl,1676560614383,78818,Large fetus causing disproportion with antenatal problem,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O335XX1,"Matern care for disproprtn d/t unusually large fetus, fts1",0,,45539136,1.0,APPROVED,EQUAL,etl,1676560614383,78818,Large fetus causing disproportion with antenatal problem,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O336XX0,"Matern care for disproprtn due to hydrocephalic fetus, unsp",0,,45592228,1.0,APPROVED,EQUAL,etl,1676560614383,80467,Hydrocephalic disproportion,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O337XX0,"Maternal care for disproprtn due to other fetal deform, unsp",0,,37200980,1.0,APPROVED,EQUAL,etl,1676560614383,80165,Fetal disproportion,Condition,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O99841,"Bariatric surgery status comp pregnancy, first trimester",0,,45568009,1.0,APPROVED,EQUAL,etl,1676560614383,4326683,Bariatric operative procedure,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O99842,"Bariatric surgery status comp pregnancy, second trimester",0,,45539225,1.0,APPROVED,EQUAL,etl,1676560614383,4326683,Bariatric operative procedure,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O99843,"Bariatric surgery status comp pregnancy, third trimester",0,,45577678,1.0,APPROVED,EQUAL,etl,1676560614383,4326683,Bariatric operative procedure,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_O99845,Bariatric surgery status complicating the puerperium,0,,45597057,1.0,APPROVED,EQUAL,etl,1676560614383,4326683,Bariatric operative procedure,Procedure,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R718,Other abnormality of red blood cells,0,,45539357,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R7401,Elevation of levels of liver transaminase levels,0,,725460,1.0,APPROVED,EQUAL,etl,1676560614383,4084765,Above reference range,Meas Value,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R7402,Elevation of levels of lactic acid dehydrogenase [LDH],0,,725461,1.0,APPROVED,EQUAL,etl,1676560614383,4084765,Above reference range,Meas Value,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R748,Abnormal levels of other serum enzymes,0,,35211422,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R749,"Abnormal serum enzyme level, unspecified",0,,35211423,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R768,Other specified abnormal immunological findings in serum,0,,35211427,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R771,Abnormality of globulin,0,,35211430,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
MZG_10_D_R772,Abnormality of alphafetoprotein,0,,35211431,1.0,APPROVED,EQUAL,etl,1676560614383,4135493,Abnormal,Spec Disease Status,MAPS_TO,AUTO MAPPED,etl,1676560614383,
