sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInformation,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_ICHOM_WEIGHTL_Ja,Ja,110,,Hebt u de laatste tijd ongewenst gewicht verloren?,0.56,APPROVED,EQUAL,Louise,1637850977405,45877994,Yes,Meas Value,MAPS_TO,,Louise,1637850976134,
AWELL_ICHOM_WEIGHTL_,,8,,Hebt u de laatste tijd ongewenst gewicht verloren?,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
AWELL_ICHOM_WEIGHTL_Nee,Nee,127,,Hebt u de laatste tijd ongewenst gewicht verloren?,0.71,APPROVED,EQUAL,Louise,1637851831982,45878245,No,Meas Value,MAPS_TO,,Louise,1637851831311,
AWELL_ICHOM_SMOKING_Onbekend,Onbekend,6,,Wat was uw rookgedrag op het moment van uw longkanker diagnose?,0.74,APPROVED,EQUAL,Louise,1637851653806,45877986,Unknown,Meas Value,MAPS_TO,,Louise,1637851652221,
,,159,,Wat was uw rookgedrag op het moment van uw longkanker diagnose?,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
AWELL_ICHOM_EDUCATION_Hoger_onderwijs,Hoger onderwijs,69,,Wat is het hoogste onderwijsniveau dat u met succes heeft afgerond?,0.59,APPROVED,EQUAL,Louise,1637851606229,37079441,More than high school,Meas Value,MAPS_TO,,Louise,1637851604405,
AWELL_ICHOM_EDUCATION_Lager_onderwijs,Lager onderwijs,110,,Wat is het hoogste onderwijsniveau dat u met succes heeft afgerond?,0.60,APPROVED,EQUAL,Louise,1637851610278,37079293,Less than high school degree,Meas Value,MAPS_TO,,Louise,1637851521573,
AWELL_AZDELTA_WEIGHTL_ADDITIONAL_PERIOD_Afgelopen_jaar,Afgelopen jaar,11,,In welke periode heeft dit gewichtsverlies plaatsgehad?,0.53,UNCHECKED,UNREVIEWED,,0,42069418,JAARS,Geography,MAPS_TO,,<auto>,1637850927170,
,,406,,Heeft een dokter u ooit gemeld dat u lijdt aan één van onderstaande aandoeningen?,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
AWELL_ICHOM_EDUCATION_Middelbaar_onderwijs,Middelbaar onderwijs,233,,Wat is het hoogste onderwijsniveau dat u met succes heeft afgerond?,0.49,APPROVED,EQUAL,Louise,1637851227278,45876261,High school,Meas Value,MAPS_TO,,Louise,1637851226477,
AWELL_ICHOM_EDUCATION_Geen,Geen,2,,Wat is het hoogste onderwijsniveau dat u met succes heeft afgerond?,0.77,APPROVED,EQUAL,Louise,1637851184725,45880050,No schooling,Meas Value,MAPS_TO,,Louise,1637851183886,
AWELL_ICHOM_WEIGHTL_Niet_voor_zover_ik_weet,Niet voor zover ik weet,173,,Hebt u de laatste tijd ongewenst gewicht verloren?,0.39,UNCHECKED,UNREVIEWED,,0,41891968,Voort,Geography,MAPS_TO,,<auto>,1637850927924,
AWELL_AZDELTA_WEIGHTL_ADDITIONAL_PERIOD_Afgelopen_3_maand,Afgelopen 3 maand,31,,In welke periode heeft dit gewichtsverlies plaatsgehad?,0.44,UNCHECKED,UNREVIEWED,,0,35957236,MAFG (MAF bZIP transcription factor G) gene variant measurement,Measurement,MAPS_TO,,<auto>,1637850928183,
AWELL_AZDELTA_WEIGHTL_ADDITIONAL_PERIOD_Afgelopen_maand,Afgelopen maand,39,,In welke periode heeft dit gewichtsverlies plaatsgehad?,0.45,UNCHECKED,UNREVIEWED,,0,36309332,Current smoker,Meas Value,MAPS_TO,,Louise,1637852038422,
AWELL_AZDELTA_WEIGHTL_ADDITIONAL_PERIOD_Afgelopen_6_maand,Afgelopen 6 maand,22,,In welke periode heeft dit gewichtsverlies plaatsgehad?,0.43,UNCHECKED,UNREVIEWED,,0,35957236,MAFG (MAF bZIP transcription factor G) gene variant measurement,Measurement,MAPS_TO,,<auto>,1637850928710,
AWELL_ICHOM_SMOKING_Nooit_gerookt_(<100_sigaretten_in_uw_leven),Nooit gerookt (<100 sigaretten in uw leven),26,,Wat was uw rookgedrag op het moment van uw longkanker diagnose?,0.29,APPROVED,EQUAL,Louise,1637851711030,45883537,Never smoked,Meas Value,MAPS_TO,,Louise,1637851709982,
AWELL_ICHOM_SMOKING_Ex-roker_(ten_minste_één_jaar_gestopt_voor_diagnose),Ex-roker (ten minste één jaar gestopt voor diagnose),118,,Wat was uw rookgedrag op het moment van uw longkanker diagnose?,0.23,UNCHECKED,UNREVIEWED,,0,45883458,Former smoker,Meas Value,MAPS_TO,,Louise,1637852034238,
AWELL_ICHOM_SMOKING_Huidig_roker_(ook_indien_u_minder_dan_één_jaar_geleden_gestopt_bent),Huidig roker (ook indien u minder dan één jaar geleden gestopt bent),102,,Wat was uw rookgedrag op het moment van uw longkanker diagnose?,0.19,UNCHECKED,UNREVIEWED,,0,36309332,Current smoker,Meas Value,MAPS_TO,,Louise,1637852055870,
