sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInformation,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_EORTCQLQC30_Q29_4,4,427,,How would you rate your overall health during the past week?,0.0,APPROVED,EQUAL,Louise,0,45878304,4,,MAPS_TO,,Louise,0,
AWELL_EORTCQLQC30_Q01_Quite,Quite,392,,'Do you have any trouble doing strenuous activities,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q06_Quite,Quite,326,,Were you limited in doing either your work or other daily activities?,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q05_Quite,Quite,87,,'Do you need help with eating,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q03_Quite,Quite,225,,Do you have any trouble taking a short walk outside of the house?,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q23_Very_much,Very much,30,,Did you feel irritable?,1.00,APPROVED,EQUAL,Louise,1637336625439,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637336566331,
AWELL_EORTCQLQC30_Q19_Very_much,Very much,86,,Did pain interfere with your daily activities?,1.00,APPROVED,EQUAL,Louise,1637336625439,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637336566341,
AWELL_EORTCQLQC30_Q10_Very_much,Very much,178,,Did you need to rest?,1.00,APPROVED,EQUAL,Louise,1637336625439,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637336566372,
AWELL_EORTCQLQC30_Q10_Quite,Quite,469,,Did you need to rest?,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q19_Quite,Quite,176,,Did pain interfere with your daily activities?,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q23_Quite,Quite,146,,Did you feel irritable?,0.65,APPROVED,EQUAL,Louise,1637336646719,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637336641144,
AWELL_EORTCQLQC30_Q05_Not_at_all,Not at all,1269,,'Do you need help with eating,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567312,
AWELL_EORTCQLQC30_Q09_Not_at_all,Not at all,771,,Have you had pain?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567312,
AWELL_EORTCQLQC30_Q02_Not_at_all,Not at all,288,,Do you have any trouble taking a long walk?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567312,
AWELL_EORTCQLQC30_Q18_Not_at_all,Not at all,299,,Were you tired?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567313,
AWELL_EORTCQLQC30_Q29_7_(Excellent),7 (Excellent),49,,How would you rate your overall health during the past week?,0.63,APPROVED,EQUAL,Louise,0,45878731,7,Meas Value,MAPS_TO,,<auto>,"1,64E+12",
AWELL_EORTCQLQC30_Q21_Not_at_all,Not at all,862,,Did you feel tense?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567550,
AWELL_EORTCQLQC30_Q27_Not_at_all,Not at all,769,,Has your physical condition or medical treatment interfered with your social activities?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567550,
AWELL_EORTCQLQC30_Q28_Not_at_all,Not at all,1200,,Has your physical condition or medical treatment caused you finullcial difficulties?,1.00,APPROVED,EQUAL,Louise,1637336653055,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637336567567,
AWELL_EORTCQLQC30_Q29_5,5,539,,How would you rate your overall health during the past week?,0.0,APPROVED,EQUAL,Louise,0,45878730,5,,MAPS_TO,,Louise,0,
AWELL_EORTCQLQC30_Q02_A_bit,A bit,463,,Do you have any trouble taking a long walk?,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
AWELL_EORTCQLQC30_Q05_A_bit,A bit,169,,'Do you need help with eating,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
AWELL_EORTCQLQC30_Q09_A_bit,A bit,522,,Have you had pain?,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
AWELL_EORTCQLQC30_Q18_A_bit,A bit,698,,Were you tired?,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
AWELL_EORTCQLQC30_Q27_A_bit,A bit,493,,Has your physical condition or medical treatment interfered with your social activities?,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
AWELL_EORTCQLQC30_Q21_A_bit,A bit,518,,Did you feel tense?,0.63,APPROVED,EQUAL,Louise,1637336677384,45876949,A little,Meas Value,MAPS_TO,,Louise,1637336671991,
