sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInformation,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_EORTCQLQLC13_Q02_Very_much,Very much,4,,2: Did you cough up blood?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565243729,
AWELL_EORTCQLQLC13_Q01_Very_much,Very much,43,,1: How much did you cough?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565243729,
AWELL_EORTCQLQLC13_Q05_Not_at_all,Not at all,355,,5: Were you short of breath when you climbed stairs?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565243735,
AWELL_EORTCQLQLC13_Q08_Quite,Quite,117,,8: Have you had tingling hands or feet?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q09_Quite,Quite,83,,9: Have you had hair loss?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q13_A_little,A little,232,,'If yes,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565243768,
AWELL_EORTCQLQLC13_Q10_Quite,Quite,75,,10: Have you had pain in your chest?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q12_A_little,A little,467,,12: Have you had pain in other parts of your body?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565243756,
AWELL_EORTCQLQLC13_Q09_Very_much,Very much,92,,9: Have you had hair loss?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244029,
AWELL_EORTCQLQLC13_Q09_A_little,A little,185,,9: Have you had hair loss?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244034,
AWELL_EORTCQLQLC13_Q03_A_little,A little,407,,3: Were you short of breath when you rested?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244041,
AWELL_EORTCQLQLC13_Q05_A_little,A little,690,,5: Were you short of breath when you climbed stairs?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244105,
AWELL_EORTCQLQLC13_Q11_Very_much,Very much,27,,11: Have you had pain in your arm or shoulder?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244122,
AWELL_EORTCQLQLC13_Q13_Not_at_all,Not at all,84,,'If yes,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565244132,
AWELL_EORTCQLQLC13_Q10_Very_much,Very much,6,,10: Have you had pain in your chest?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244133,
AWELL_EORTCQLQLC13_Q02_Not_at_all,Not at all,1464,,2: Did you cough up blood?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565244181,
AWELL_EORTCQLQLC13_Q08_Very_much,Very much,41,,8: Have you had tingling hands or feet?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244257,
AWELL_EORTCQLQLC13_Q12_Very_much,Very much,55,,12: Have you had pain in other parts of your body?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244334,
AWELL_EORTCQLQLC13_Q05_Very_much,Very much,168,,5: Were you short of breath when you climbed stairs?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244369,
AWELL_EORTCQLQLC13_Q02_Quite,Quite,14,,2: Did you cough up blood?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q09_Not_at_all,Not at all,1219,,9: Have you had hair loss?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565244452,
AWELL_EORTCQLQLC13_Q10_Not_at_all,Not at all,1198,,10: Have you had pain in your chest?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565244452,
AWELL_EORTCQLQLC13_Q02_A_little,A little,71,,2: Did you cough up blood?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244520,
AWELL_EORTCQLQLC13_Q12_Quite,Quite,210,,12: Have you had pain in other parts of your body?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q08_A_little,A little,300,,8: Have you had tingling hands or feet?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244603,
AWELL_EORTCQLQLC13_Q03_Very_much,Very much,7,,3: Were you short of breath when you rested?,1.00,APPROVED,EQUAL,Louise,1637565282715,45885256,Very much,Meas Value,MAPS_TO,,<auto>,1637565244640,
AWELL_EORTCQLQLC13_Q05_Quite,Quite,322,,5: Were you short of breath when you climbed stairs?,0.65,APPROVED,EQUAL,Louise,1637565301210,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637565297050,
AWELL_EORTCQLQLC13_Q11_Not_at_all,Not at all,1098,,11: Have you had pain in your arm or shoulder?,1.00,APPROVED,EQUAL,Louise,1637565310305,45883172,Not at all,Meas Value,MAPS_TO,,<auto>,1637565244944,
AWELL_EORTCQLQLC13_Q10_A_little,A little,299,,10: Have you had pain in your chest?,1.00,APPROVED,EQUAL,Louise,1637565315345,45876949,A little,Meas Value,MAPS_TO,,<auto>,1637565244946,
AWELL_part_2_false,false,803,,'During the past week,1.00,APPROVED,EQUAL,Louise,1637565315345,45880729,False,Meas Value,MAPS_TO,,<auto>,1637565244964,
