sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:AdditionalInformation,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AWELL_nothing_can_cheer_me_up_severity_Heel_erg,Heel erg,11,,Hoe ERG was het GEVOEL DAT NIETS U KON OPVROLIJKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.69,APPROVED,EQUAL,Louise,1637571808955,45883841,Very severe,Meas Value,MAPS_TO,,Louise,1637571805283,
AWELL_vomiting_severity_Heel_erg,Heel erg,5,,Hoe ERG was uw BRAKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.69,APPROVED,EQUAL,Louise,1637571808955,45883841,Very severe,Meas Value,MAPS_TO,,Louise,1637571805283,
AWELL_nausea_severity_Matig,Matig,111,,Hoe ERG was uw MISSELIJKHEID op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.49,APPROVED,EQUAL,Louise,1637571929969,45877983,Moderate,Meas Value,MAPS_TO,,Louise,1637571924873,
AWELL_sad_or_unhappy_severity_Erg,Erg,44,,Hoe ERG waren uw VERDRIETIGE OF ONGELUKKIGE GEVOELENS op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.55,APPROVED,EQUAL,Louise,1637571780004,45883536,Severe,Meas Value,MAPS_TO,,Louise,1637571775820,
AWELL_anxious_freq_Zelden,Zelden,954,,Hoe VAAK bent u ANGSTIG geweest in de afgelopen 7 dagen?,0.34,APPROVED,EQUAL,Louise,1637572053639,45876672,Rarely,Meas Value,MAPS_TO,,Louise,1637572049439,
AWELL_mouth_ulceration_impact_Helemaal_niet,Helemaal niet,67,,In welke mate hebben de ZWEERTJES IN UW MOND OF KEEL (AFTEN) uw gebruikelijke of dagdagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.24,APPROVED,EQUAL,Louise,1637571912785,45883172,Not at all,Meas Value,MAPS_TO,,Louise,1637571912137,
AWELL_dyspnea_impact_Een_beetje,Een beetje,741,,In welke mate heeft uw KORTADEMIGHEID uw gebruikelijke of dagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.23,APPROVED,EQUAL,Louise,1637571674854,45881667,A little bit,Meas Value,MAPS_TO,,Louise,1637571671742,
AWELL_nothing_can_cheer_me_up_freq_Soms,Soms,479,,Hoe VAAK hebt u GEVOELD DAT NIETS U KON OPVROLIJKEN in de afgelopen 7 dagen?,0.65,APPROVED,EQUAL,Louise,1637571999240,45879593,Occasionally,Meas Value,MAPS_TO,,Louise,1637571995993,
AWELL_questions_about_palliative_care_false,false,3947,,'Heeft u vragen of zorgen over het levenseinde,1.00,APPROVED,EQUAL,Louise,1637571792283,45878245,No,Meas Value,MAPS_TO,,Louise,1637571789219,
AWELL_nothing_can_cheer_me_up_freq_Vaak,Vaak,130,,Hoe VAAK hebt u GEVOELD DAT NIETS U KON OPVROLIJKEN in de afgelopen 7 dagen?,0.32,APPROVED,EQUAL,Louise,1637572024048,45883983,Frequently,Meas Value,MAPS_TO,,Louise,1637572020895,
AWELL_vomiting_severity_Helemaal_niet,Helemaal niet,17,,Hoe ERG was uw BRAKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.24,APPROVED,EQUAL,Louise,1637571823563,45878582,None,Meas Value,MAPS_TO,,Louise,1637571820298,
AWELL_sad_or_unhappy_severity_Heel_erg,Heel erg,11,,Hoe ERG waren uw VERDRIETIGE OF ONGELUKKIGE GEVOELENS op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.69,APPROVED,EQUAL,Louise,1637571808955,45883841,Very severe,Meas Value,MAPS_TO,,Louise,1637571805283,
AWELL_nothing_can_cheer_me_up_severity_Helemaal_niet,Helemaal niet,152,,Hoe ERG was het GEVOEL DAT NIETS U KON OPVROLIJKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.24,APPROVED,EQUAL,Louise,1637571823563,45878582,None,Meas Value,MAPS_TO,,Louise,1637571820298,
AWELL_anxious_impact_Een_beetje,Een beetje,289,,In welke mate heeft ANGST uw gebruikelijke of dagdagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.23,APPROVED,EQUAL,Louise,1637571674854,45881667,A little bit,Meas Value,MAPS_TO,,Louise,1637571671742,
AWELL_dyspnea_impact_Enigzins,Enigzins,223,,In welke mate heeft uw KORTADEMIGHEID uw gebruikelijke of dagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.21,APPROVED,EQUAL,Louise,1637571765876,45876385,Somewhat,Meas Value,MAPS_TO,,Louise,1637571760973,
AWELL_vomiting_severity_Matig,Matig,30,,Hoe ERG was uw BRAKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.49,APPROVED,EQUAL,Louise,1637571929969,45877983,Moderate,Meas Value,MAPS_TO,,Louise,1637571924873,
AWELL_nothing_can_cheer_me_up_freq_Zelden,Zelden,1140,,Hoe VAAK hebt u GEVOELD DAT NIETS U KON OPVROLIJKEN in de afgelopen 7 dagen?,0.34,APPROVED,EQUAL,Louise,1637572053639,45876672,Rarely,Meas Value,MAPS_TO,,Louise,1637572049439,
AWELL_nothing_can_cheer_me_up_severity_Matig,Matig,152,,Hoe ERG was het GEVOEL DAT NIETS U KON OPVROLIJKEN op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.49,APPROVED,EQUAL,Louise,1637571929969,45877983,Moderate,Meas Value,MAPS_TO,,Louise,1637571924873,
AWELL_anxious_impact_Enigzins,Enigzins,57,,In welke mate heeft ANGST uw gebruikelijke of dagdagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.21,APPROVED,EQUAL,Louise,1637571765876,45876385,Somewhat,Meas Value,MAPS_TO,,Louise,1637571760973,
AWELL_mouth_ulceration_impact_Redelijk_wat,Redelijk wat,13,,In welke mate hebben de ZWEERTJES IN UW MOND OF KEEL (AFTEN) uw gebruikelijke of dagdagelijkse activiteiten BELEMMERD in de afgelopen 7 dagen?,0.26,APPROVED,EQUAL,Louise,1637571982904,45884456,Quite a bit,Meas Value,MAPS_TO,,Louise,1637571965385,
AWELL_questions_about_palliative_care_true,true,121,,'Heeft u vragen of zorgen over het levenseinde,1.00,APPROVED,EQUAL,Louise,1637572010776,45877994,Yes,Meas Value,MAPS_TO,,Louise,1637572007569,
AWELL_sad_or_unhappy_severity_Helemaal_niet,Helemaal niet,180,,Hoe ERG waren uw VERDRIETIGE OF ONGELUKKIGE GEVOELENS op het SLECHTSTE MOMENT in de afgelopen 7 dagen?,0.24,APPROVED,EQUAL,Louise,1637571823563,45878582,None,Meas Value,MAPS_TO,,Louise,1637571820298,
