sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO_SOURCE_CONCEPT_ID,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
MZG_9_D_00843,DARMINFECTIE DOOR CAMPYLOBACTER,0,,44825095,1,APPROVED,EQUAL,etl,1639653832291,198334,Intestinal infection due to campylobacter,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_00845,DARMINFECTIE DOOR CLOSTRIDIUM DIFFICILE,0,,44826288,1,APPROVED,EQUAL,etl,1639653832291,193688,Intestinal infection due to Clostridium difficile,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0090,"INFECTIEUZE COLITIS, ENTERITIS EN GASTRO-ENTERITIS",0,,44832036,1,APPROVED,EQUAL,etl,1639653832291,37396146,"Infectious colitis, enteritis, and gastroenteritis",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0091,"COLITIS, ENTERITIS EN GASTRO-ENTERITIS VAN VERONDERSTELD INFECTIEUZE AARD",0,,44819305,1,APPROVED,EQUAL,etl,1639653832291,195453,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_035,ERYSIPELAS,0,,44833223,1,APPROVED,EQUAL,etl,1639653832291,138346,Erysipelas,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_03811,SEPTICEMIE DOOR METHICILLINE GEVOELIGE STAPHYLOCOCCUS AUREUS,0,,44819357,1,APPROVED,EQUAL,etl,1639653832291,40489907,Methicillin susceptible Staphylococcus aureus septicemia,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_03812,SEPTICEMIE DOOR METHICILLINE RESISTENTE STAFYLOCOCCUS AUREUS,0,,44825143,1,APPROVED,EQUAL,etl,1639653832291,40491960,Methicillin resistant Staphylococcus aureus septicemia,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_03842,SEPSIS DOOR ESCHERICHIA COLI -E. COLI-,0,,44826329,1,APPROVED,EQUAL,etl,1639653832291,40487064,Septicemia due to escherichia coli [E. coli],Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_0389,NIET GESPECIFICEERDE SEPSIS OF PYEMIE,0,,44823969,1,APPROVED,EQUAL,etl,1639653832291,132797,Unspecified septicemia,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
MZG_9_D_04111,METHICILLINE GEVOELIGE STAPHYLOCOCCUS AUREUS BIJ ELDERS GEKLASSIFICEERDE AANDOENINGEN EN VAN NIET GESPECIFICEERDE SITE,0,,44827488,1,APPROVED,EQUAL,etl,1639653832291,40481816,Methicillin susceptible Staphylococcus aureus in conditions classified elsewhere and of unspecified site,Condition,MAPS_TO,AUTO MAPPED,etl,1639653832291,
