source_code,source_term,source_frequency
RAD_TH1,Thorax 1cl,371347
RAD_TH2,Thorax 2cl.,346806
RAD_CTAB,CT abdomen 15cl,156170
RAD_ECHO,Echo gastro SC,142471
RAD_MRWM,MR cwz/dwz/lwz,130396
RAD_RXBOB,RX tractie-aspiratie/bead/monit,125990
RAD_CTHE,CT hersenen,125084
RAD_CC,Cytologie cervix,109332
RAD_ECLM,Echo lidmaat,106249
RAD_PATHOL,PATHOL,103160
RAD_GB1,Gewone biopsie 1x,95911
RAD_CS00000009,ECG,92897
RAD_MRAF,MR hoofd,88463
RAD_CTWM,CT wervelzuil,87826
RAD_?,Onderzoek tbv verslag,87409
RAD_LWZ,RX LWZ,82653
RAD_MRLM,MR lidmaat,76443
RAD_ZH00000079,CR Thorax Aan Bed,74339
RAD_ZH00005209,Audiometrie (tonaal),70490
RAD_ZH00000081,CR Thorax F/P,66846
RAD_MAM1,RX mammo unilateraal,66590
RAD_T_TH2,RX Thorax FP,66432
RAD_ZH00005208,Impedantiemetrie,64054
RAD_ZH00000080,CR Thorax Face,63907
RAD_BEK,RX bekken,58389
RAD_THORAX,Thorax,54685
RAD_ECBO,Echo borsten,53940
RAD_BOT,Botscan,49532
RAD_0000008724,Echo Urologie 2,47258
RAD_CS00000033,Fietsergometrie - maximaal,46898
RAD_ABD,RX abdomen,46816
RAD_ETAD,Echo tot abdomen evt doppler,46155
RAD_KNIE,Knie,45466
RAD_ZH00005182,Echocardiografie adhoc,44677
RAD_CWZ,RX cervicale wervelzuil,41402
RAD_ZH00000253,Echo Abdomen,40221
RAD_ZH00000391,MR LWZ Standaard/PLIF,38882
RAD_T_TH1,RX Thorax,38612
RAD_CS00000331,C-Boog,38120
RAD_T_EAB,Echo Abd Totaal,37564
RAD_1401,THORAX,37238
RAD_KNR,RX knie re,35893
RAD_KNL,RX knie li,35668
RAD_HEUR,RX heup re,35638
RAD_MSCR,RX Mammoscreening,34779
RAD_HEUL,RX heup li,34121
RAD_T_ABD,RX Abdomen Int,33279
RAD_ZH00000127,CT Hersenen Standaard,33185
RAD_MRAB,MR hals/thorax/abdomen/bekk,31118
RAD_CTTH,CT Thorax,29484
RAD_ZH00000157,CT Abdomen Standaard met contrast,28601
RAD_11,cervico-vaginale cyto,28547
RAD_ZH00000121,MA Mammoscreening Bilateraal,28400
RAD_SCHE,RX SCHEDEL,28335
RAD_VOR,RX voet re,28286
RAD_VOL,RX voet li,27668
RAD_ZH00000267,Echo Borsten (met inbegrip van de axilla),26868
RAD_CS00000332,Scopie (Videotoren),26862
RAD_VOET,Voet(en),26829
RAD_CSKD,Echo K.Dujardin,25966
RAD_SCHR,RX schouder re,25799
RAD_0000008546,Echo Urologie 1,25081
RAD_POL,RX pols li,24884
RAD_T_THS,RX THmECG/BA/ASP,23460
RAD_CS00000015,Echocardiografie,23426
RAD_1712,ECHO LIDMAAT,23050
RAD_ZH00000041,CR Heup Rechts,23003
RAD_SCHL,RX schouder li,22883
RAD_ZH00005267,C-boog,22784
RAD_ZH00005442,Echo Abdomen (adhoc) E,22402
RAD_ZH00000040,CR Heup Links,21886
RAD_POR,RX pols re,21781
RAD_ECHO LID,ECHO LIDMAAT,21615
RAD_DWZ,RX DWZ,21564
RAD_ENR,RX enkel re,21497
RAD_COR,CORONARO (DIAGNOSTISCH),21484
RAD_MAM,RX mammo,21360
RAD_T_CABD,CT Abdomen,21156
RAD_ENL,RX enkel li,20964
RAD_CTLM,CT lidmaat,20949
RAD_DUHM,duplex hals,20908
RAD_T_ELID,Echo Lidmaat,20886
RAD_1211,KNIE,20883
RAD_HAR,RX hand re,20220
RAD_CSMD,Echo M.De Ceuninck,20088
RAD_HAL,RX hand li,19728
RAD_T_CSCH-,CT Schedel - Contrast,19527
RAD_ZH00005084,Whole body met SPECT/CT (low dose CT) scan,19426
RAD_ZH00005083,Whole body met SPECT/CT (low dose CT) inj,19392
RAD_T_LWZ,RX Lumbale Wervelzuil,19153
RAD_ZH00000147,CT LWZ Standaard,18789
RAD_CA1,Cytologie andere 1x,18294
RAD_ZH00000017,CR Schouder Rechts,18163
RAD_ZH00000029,CR Voet Rechts,18126
RAD_6006,NMR WERVELZUIL,17897
RAD_T_CLWZ,CT Lumbale Wervelzuil,17625
RAD_CS00000158,EEG,17508
RAD_HEUP,Heup,17505
RAD_ZH00000384,MR CWZ Standaard,17304
RAD_6007,NMR LIDMAAT,17255
RAD_T_CVHW,Consultatie Dr Van Haute,16987
RAD_ZH00000028,CR Voet Links,16973
RAD_ZH00000466,MR Knie Rechts 15ch AA,16541
RAD_T_BEKR,RX Bekken Re,16522
RAD_ZH00000016,CR Schouder Links,16288
RAD_PO,RX pols,16240
RAD_ZH00000117,MA Mammo Bilateraal,16131
RAD_1231,HEUP,16023
RAD_ENK,RX Enkel,15966
RAD_ZH00000031,CR Enkel Rechts,15828
RAD_ZH00005178,ECG ad-hoc,15646
RAD_ZH00000465,MR Knie Links 15ch AA,15478
RAD_ZH00000008,CR Pols Links,15446
RAD_ZH00000036,"CR Knie Standaard Staande (""4 opnames"") Rechts",15390
RAD_ZH00000034,"CR Knie Standaard Staande (""4 opnames"") Links",15288
RAD_ZH00000043,CR Bekken Staand,14996
RAD_ZH00000049,CR LWZ,14940
RAD_ZH00000174,CT Thorax-Abdomen Standaard,14921
RAD_ZH00000030,CR Enkel Links,14899
RAD_ZH00005217,Spraakaudiometrie,14632
RAD_ZH00000009,CR Pols Rechts,14418
RAD_CSFS,Echo F.Stammen,14383
RAD_CSSVDW,Echo S.Van de Walle,14335
RAD_T_VOBMAM,Mammo Prev VOB,14061
RAD_ZH00005237,echo totaal abdomen,14005
RAD_CT WERVE,CT WERVEL 2 (12),13939
RAD_WBSP,Total Body + spect,13893
RAD_ZH00000006,CR Hand Rechts,13836
RAD_1665,CT WERVEL 2 (12),13808
RAD_ARTR,RX arthrografie,13795
RAD_ZH00005185,Volledige longfunctie,13725
RAD_1669,CT ABDOMEN,13702
RAD_1,Echo LEVER / GB /GW,13230
RAD_CT HALS/,CT HALS/THORAX/ABDOMEN ZONDER/MET (30),13078
RAD_BEKKEN,Bekken,12983
RAD_ZH00005179,Echocardiografie,12972
RAD_1233,BEKKEN,12953
RAD_ZH00000287,Echo Schouder Rechts,12900
RAD_HA,RX hand,12703
RAD_ZH00005212,Eenvoudig evenwichtsonderzoek/Positioneringstesten,12654
RAD_KM1,Kleine makroscopie 1x,12548
RAD_CTTHAB,CT Thorax en abdomen,12344
RAD_ZH00000152,CT Thorax Standaard,12335
RAD_ZH00000005,CR Hand Links,12322
RAD_T_VOER,RX Voet Re,12181
RAD_0000008749,COVID19CT,12063
RAD_CS00000034,24 uurs holter,12049
RAD_SCH,RX Schouder,11904
RAD_HEU,RX heup,11837
RAD_TTE1,Transthoracale echocardiografie,11725
RAD_ZH00000042,CR Bekken Liggend,11427
RAD_MRAG,MR angiografie,11349
RAD_ZH00000286,Echo Schouder Links,11178
RAD_T_VOEL,RX Voet Li,11061
RAD_ECAB,echo abdomen,11021
RAD_1181,VOET,11004
RAD_ZH00000340,MR Hersenen Standaard,10878
RAD_T_CWZ,RX Cervicale Wervelzuil,10856
RAD_T_ENKR,RX Enkel Re,10641
RAD_T_CTH,CT Thorax,10314
RAD_LWZ2R,CT WERVEL 2 (12),10285
RAD_T_KNIL,RX Knie Li,10266
RAD_T_KNIR,RX Knie Re,10245
RAD_VIL,RX vinger li,10119
RAD_1252,LWZ2R,10100
RAD_T_SCHR,RX Schouder Re,10058
RAD_ZH00000089,CR Abdomen Staand,9980
RAD_CT SCHED,CT SCHEDELBASIS (12),9917
RAD_BMCA,Botdensitometrie,9876
RAD_T_POLL,RX Pols Li,9875
RAD_VIR,RX vinger Re,9758
RAD_T_ENKL,RX Enkel Li,9695
RAD_T_OPG,OPG,9485
RAD_ZH00000155,CT Thorax Embolen,9471
RAD_1161,SCHOUDER,9407
RAD_5011,TBSPECT/A,9209
RAD_ZH00005181,Fietsergonometrie - maximaal adhoc,9070
RAD_T_HEUR,RX Heup Re,8995
RAD_T_SCHL,RX Schouder Li,8877
RAD_SCHOUDER,Schouder,8866
RAD_T_POLR,RX Pols Re,8820
RAD_T_CLID,CT Lidmaat,8783
RAD_ECHA,Echo hals,8756
RAD_ZH00005118,Conebeam sinussen,8729
RAD_THB,THB,8702
RAD_ELL,RX elleboog li,8625
RAD_T_HEUL,RX Heup Li,8550
RAD_SMD,RX SMD 10cl,8534
RAD_DULM,Duplex lidmaat,8524
RAD_SK,Schildklierscan,8480
RAD_ELR,RX elleboog re,8455
RAD_T_HANR,RX Hand Re,8425
RAD_ENKEL,Enkel(s),8342
RAD_ZH00005218,Allergietesten,8294
RAD_SAC,RX SACRUM,8192
RAD_T_BEKL,RX Bekken Li,8190
RAD_CTFA,CT of CBCT faciaal massief (sinussen) zonder contr,8138
RAD_1650,CT SCHEDEL ZONDER (10),8081
RAD_ZH00000620,PETscan,8042
RAD_1191,ENKEL,7923
RAD_ZH00000037,CR Knie Trauma (F-P-3/4) Rechts,7912
RAD_ECHOCARD,amb zaal 1&2,7870
RAD_ZH00000143,CT CWZ Standaard,7865
RAD_ZH00000305,Echo Heup Rechts,7858
RAD_T_EMAM,Echo Borst,7802
RAD_VI,RX vinger,7691
RAD_ZH00000088,CR Abdomen Liggend,7687
RAD_T_HANL,RX Hand Li,7657
RAD_SB1,Superbiopsie 1x,7643
RAD_T_MRSCH,MRI Schedel,7626
RAD_ZH00000035,CR Knie Trauma (F-P-3/4) Links,7606
RAD_ZH00000265,Echo Hals,7541
RAD_T_HUMR,RX Humerus Re,7505
RAD_ZH00000304,Echo Heup Links ,7493
RAD_ZH00000177,CT Thorax-Abdomen Restaging Met Contrast,7469
RAD_ZH00000047,CR CWZ,7445
RAD_T_CCWZ,CT CWZ,7375
RAD_B3F,Botscan 3 fasen,7267
RAD_SM1,Supermakroscopie 1x,7229
RAD_EL,"ECHO LEVER, GALBLAAS, GALWEGEN EN UROGENITAAL SYST",7175
RAD_1121,POLS,7078
RAD_CTRS,CT rotsbeenderen/sella tursica,7056
RAD_ZH00000130,CT Hersenen Trauma,7014
RAD_POLS,POLS,6991
RAD_ZH00000307,Duplex-Dopler Carotiden + Vertebralis,6974
RAD_ZH00000012,CR Elleboog Links,6954
RAD_CSWA,Echo W.Anné,6940
RAD_6001,NMR HOOFD,6926
RAD_ZH00000169,CT Urolithiase,6836
RAD_T_SIN,RX Sinussen,6733
RAD_WBSPCT,Total Body + spectCT,6713
RAD_1708,ECHO ABDOMEN,6687
RAD_RIBL,RX ribben li,6679
RAD_ZH00000153,CT Thorax Zonder Contrast,6672
RAD_CS00000120,Spirometrie,6639
RAD_ZH00000013,CR Elleboog Rechts,6613
RAD_PET,PETscan,6527
RAD_T_HUML,RX Humerus Li,6448
RAD_ECHO ABD,ECHO ABDOMEN,6435
RAD_RIBR,RX ribben re,6403
RAD_1668,CT THORAX,6274
RAD_ABDOMENE,ABDOMENENKEL,6226
RAD_NMR LIDM,NMR LIDMAAT,6217
RAD_FULL,RX Full leg,6156
RAD_SN,Smith & Nephew Roeselare,6138
RAD_ZH00005210,Tinnitusanalyse,6137
RAD_T_CSCH+,CT Schedel + Contrast,6092
RAD_ZH00000048,CR DWZ,6060
RAD_CSPP,Echo P.Pollet,6057
RAD_NMR WERV,NMR WERVELZUIL,5860
RAD_ZH00000004,CR Vinger Rechts,5812
RAD_COLE,RX colon enkel contrast,5802
RAD_CWZMAX,CWZ,5799
RAD_1401B,THORAX BOBBY,5779
RAD_ZH00000003,CR Vinger Links,5774
RAD_T_VINR,RX VIinger Re,5718
RAD_DUUV,Duplex unilateraal veneus,5654
RAD_T_VINL,RX Vinger Li,5651
RAD_1402,THORAX (2 OPNAMEN),5533
RAD_ZH00000430,MR Schouder Arthro Rechts,5520
RAD_ZH00000341,MR Hersenen CVA,5497
RAD_T_DWZ,RX Dorsale Wervelzuil,5455
RAD_T_CSIN,CT Sinussen,5448
RAD_TEE,TransEsophageale Echocardiografie,5440
RAD_ZH00000063,CR Arthro Schouder Rechts,5396
RAD_1704,ECHO BORST,5394
RAD_ZH00005479,coronarografie,5371
RAD_ZH00005216,OAE,5352
RAD_ZH00005186,Volledige longfunctie met reversibiliteit,5343
RAD_CU1,Cytologie urine-sputum 1x,5306
RAD_T_ABHYP,RX Abdomen Hypch,5210
RAD_RIB2,RX ribben ,5187
RAD_T_MAM2,Mammografie 2,5175
RAD_T_MRLWZ,MRI Lumbale Wervelzuil,5163
RAD_1351,MAMMOGRAFIE,5047
RAD_CTHA,CT Hals,5010
RAD_MRMA,MR mammae,4972
RAD_ZH00000001,CR Duim Links,4904
RAD_HAND,HAND,4902
RAD_1301,ABDOMENENKEL,4843
RAD_OBEE,RX onderbeen,4818
RAD_T_CDECK,Consultatie Dr Deckers,4814
RAD_1246,CWZMAX,4797
RAD_ZH00000084,CR Ribbenrooster Links,4768
RAD_ZH00000261,Echo Nieren - Blaas,4721
RAD_ZH00000002,CR Duim Rechts,4712
RAD_T_EHWD,Echo Hals,4580
RAD_0000008684,Video Head Impuls Test,4520
RAD_1111,HAND,4504
RAD_ZH00000085,CR Ribbenrooster Rechts,4497
