sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:modality,ADD_INFO:wise,ADD_INFO:last_date,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RAD_ZH00000496_CT,Punctie Blaas,1,,Computed Tomography,Punctie Blaas - US: 2; Punctie Blaas - CT: 1,2021-04-03,0.39,UNCHECKED,UNREVIEWED,,0,4080549,Lumbar puncture,Procedure,MAPS_TO,,<auto>,1679066267873,
RAD_ZH00000540_XA,SIRT,29,,X-Ray Angiography,SIRT - XA: 30,2023-02-16,0.32,UNCHECKED,UNREVIEWED,,0,37111571,Sirolimus therapy,Procedure,MAPS_TO,,<auto>,1679066268016,
RAD_T_ZDUMMY_MG,zdummy,13,,Mammography,not in wise,1753-01-01,0.20,UNCHECKED,UNREVIEWED,,0,4259418,Reconstruction of medial collateral ligament of elbow using tendon graft,Procedure,MAPS_TO,,<auto>,1679066268430,
RAD_MDT_MG,Maag-duodenum-transit 14cl,7,,Mammography,Maag Dundarmtransit - CR: 8; Maag Dundarmtransit - RF: 3; Maag Dundarmtransit - DX: 1,1996-06-06,0.34,UNCHECKED,UNREVIEWED,,0,4220964,Operation on duodenum,Procedure,MAPS_TO,,<auto>,1679066268873,
RAD_ZH00005537_XA,coronaro + rechter hartkatheterisatie,311,,X-Ray Angiography,Coronaro en rechter hart - XA: 30,2023-03-15,0.34,UNCHECKED,UNREVIEWED,,0,4164278,Catheterization,Procedure,MAPS_TO,,<auto>,1679066271360,
RAD_ZH00005418_US,Duplex halsvaten en vertebrales (adhoc) D,17,,Ultra Sound,Duplex halsvaten en vertebrales (adhoc) D - US: 35,2020-05-28,0.31,UNCHECKED,UNREVIEWED,,0,4145752,Operation on vertebra,Procedure,MAPS_TO,,<auto>,1679066271549,
RAD_0000008673_XA,CRT ICD implantatie + narcose,38,,X-Ray Angiography,not in wise,2023-03-13,0.32,UNCHECKED,UNREVIEWED,,0,4141919,Insertion of pleural tube drain,Procedure,MAPS_TO,,<auto>,1679066271676,
RAD_ZH00000105_CR,CR Videofluoroscopie,1,,Computed Radiography,CR Videofluoroscopie - CR: 1,2018-12-03,0.64,UNCHECKED,UNREVIEWED,,0,44808557,Speech videofluoroscopy,Procedure,MAPS_TO,,<auto>,1679066272071,
RAD_0000005156_NM,Therapie I131 met TB SPECT/CT (LD CT) 30 mCi scan,10,,Nuclear Medicine,Therapie I131 met TB SPECT/CT (LD CT) 30 mCi scan - NM: 11,2023-01-09,0.39,UNCHECKED,UNREVIEWED,,0,4036252,Iodine 131 therapy,Procedure,MAPS_TO,,<auto>,1679066272121,
RAD_TIPS_MG,Portacava Shunt new,13,,Mammography,Portacava Shunt new - XA: 9; Portacava Shunt new - RF: 2,2017-06-23,0.64,UNCHECKED,UNREVIEWED,,0,4048304,Shunt of portal vein to vena cava,Procedure,MAPS_TO,,<auto>,1679066272383,
RAD_ZH00005249_US,evacuerende ascitespunctie,7,,Ultra Sound,evacuerende ascitespunctie - US: 14,2022-06-02,0.38,UNCHECKED,UNREVIEWED,,0,4260518,Acupuncture,Procedure,MAPS_TO,,<auto>,1679066273454,
RAD_SIRTMAA_MG,MAA voorber. ondzk,17,,Mammography,MAA voorber. ondzk - NM: 15; MAA voorber. ondzk - CT: 2,2017-06-21,0.13,UNCHECKED,UNREVIEWED,,0,3046205,NM Liver and Spleen Views W Tc-99m MAA IV,Procedure,MAPS_TO,,<auto>,1679066273518,
RAD_T_MRENKR_MG,MRI Enkel Re,310,,Mammography,not in wise,2018-04-09,0.47,UNCHECKED,UNREVIEWED,,0,44808920,MRI enteroclysis,Procedure,MAPS_TO,,<auto>,1679066274127,
RAD_NMR CERV_MG,NMR CERVICALE OF,38,,Mammography,not in wise,2008-12-29,0.65,UNCHECKED,UNREVIEWED,,0,3009302,MR Cervical spine,Procedure,MAPS_TO,,<auto>,1679066274152,
RAD_1318_MG,CLYSMA DUBBEL,10,,Mammography,CLYSMA DUBBEL - RF: 9,2014-02-17,0.33,UNCHECKED,UNREVIEWED,,0,4102150,Rectal irrigation,Procedure,MAPS_TO,,<auto>,1679066274225,
RAD_TIPSS_MG,A.JODI,13,,Mammography,TIPPS - XA: 7; A.JODI - RF: 5,2016-04-06,0.33,UNCHECKED,UNREVIEWED,,0,3006379,MR Upper extremity.joint,Procedure,MAPS_TO,,<auto>,1679066274667,
RAD_ZH00000365_MR,MR Craniale Zenuwen - Nervus Oculomotorius,29,,Magnetic Resonance,MR Craniale Zenuwen - Nervus Oculomotorius - MR: 27,2023-03-08,0.33,UNCHECKED,UNREVIEWED,,0,4066572,Intracranial transection of oculomotor nerve (III),Procedure,MAPS_TO,,<auto>,1679066274928,
RAD_1664_MG,CT WERVEL 1 (6),17,,Mammography,CT WERVEL 1 (6) - CT: 13,2013-11-29,0.18,UNCHECKED,UNREVIEWED,,0,506758,Economic wellbeing intervention,Procedure,MAPS_TO,,<auto>,1679066274960,
RAD_TBO2-OLD_MG,TOMO BOT 2 REEKSEN,7,,Mammography,not in wise,1995-12-15,0.27,UNCHECKED,UNREVIEWED,,0,44790204,Cervical length scanning at 24 weeks,Procedure,MAPS_TO,,<auto>,1679066275142,
RAD_ZH00000516_XA,Punctie Schildklier (Cytologie),1,,X-Ray Angiography,Punctie Schildklier (Cytologie) - US: 269; Punctie Schildklier (Cytologie) - CT: 1; Punctie Schildklier (Cytologie) - XA: 1,2019-12-05,0.24,UNCHECKED,UNREVIEWED,,0,44783762,Puncture of liver,Procedure,MAPS_TO,,<auto>,1679066276178,
