source_code,source_term,modality,wise,last_date,source_frequency
RAD_TH1_MG,Thorax 1cl,Mammography,Thorax 1cl - CR: 244465; RX Thorax Face - CR: 17577; RX Thorax Face - DX: 17320; Thorax 1cl - DX: 14594; Thorax 1cl - RF: 130; Thorax 1cl - CT: 15; Thorax 1cl - US: 9; RX Thorax Face - RF: 5; Thorax 1cl - XA: 2;  - CR: 2; RX Thorax Face - CT: 1,2017-09-29,351692
RAD_TH2_MG,Thorax 2cl.,Mammography,Thorax 2cl. - CR: 215953; RX Thorax Face/Profiel - DX: 33036; RX Thorax Face/Profiel - CR: 27778; Thorax 2cl. - RF: 78; Thorax 2cl. - DX: 45; Thorax 2cl. - CT: 28; Thorax 2cl. - XA: 16; Thorax 2cl. - US: 16; RX Thorax Face/Profiel - US: 3; Thorax 2cl. - MR: 2; RX Thorax Face/Profiel - RF: 2; RX Thorax Face/Profiel - OT: 1; RX Thorax Face/Profiel - CT: 1; Thorax 2cl. - SR: 1,2017-09-29,333471
RAD_CTAB_MG,CT abdomen 15cl,Mammography,CT abdomen 15cl - CT: 104518; CT abdomen 15cl - CR: 31; CT abdomen 15cl - US: 27; CT abdomen 15cl - MR: 15; CT abdomen 15cl - RF: 3; CT abdomen 15cl - SR: 3; CT abdomen 15cl - XA: 3;  - CT: 1; CT abdomen 15cl - NM: 1; CT abdomen 15cl - IVUS: 1; CT abdomen 15cl - OT: 1; CT abdomen 15cl - MG: 1,2017-09-29,149491
RAD_ECHO_MG,Echo gastro SC,Mammography,echografie abdomen - US: 60817; Echo urologie Roeselare - US: 27775; Echo interne Westlaan - US: 21306; Echo urologie Menen - US: 9916; Echografie IU22 Gastro Menen - US: 8530; Echo geriatrie Menen - US: 5193; Echo cardio Menen - US: 3003; Echo Pediatrie Roe CX50 - US: 742; Echo - US: 510; Echo gastro SC - US: 83; Echo Urologie OK Roeselare - US: 35; Echo spoed Roeselare - US: 25; Echo - XA: 18; Echo interne Westlaan - CR: 1; Echo Urologie OK Roeselare - XA: 1; echografie abdomen - CR: 1; Echo - DX: 1,2017-09-29,127346
RAD_MRWM_MG,MR cwz/dwz/lwz,Mammography,MR cwz/dwz/lwz - MR: 83849; MR cwz dwz lwz - MR: 3255; MR cwz/dwz/lwz - CR: 41; MR cwz/dwz/lwz - CT: 22,2017-09-29,122145
RAD_CTHE_MG,CT hersenen,Mammography,CT hersenen - CT: 84245; CT hersenen - CR: 26;  - CT: 9; CT hersenen - MR: 9; CT hersenen - US: 8; CT hersenen - SR: 5; CT hersenen - SEG: 1; CT hersenen - RF: 1,2017-09-29,119241
RAD_RXBOB_MG,RX tractie-aspiratie/bead/monit,Mammography,RX tractie-aspiratie/bead/monit - CR: 428; RX tractie-aspiratie/bead/monit - RF: 56; RX tractie-aspiratie/bead/monit - CT: 33; RX tractie-aspiratie/bead/monit - DX: 27; RX tractie-aspiratie/bead/monit - US: 16; RX tractie-aspiratie/bead/monit - MR: 7; RX tractie-aspiratie/bead/monit - XA: 5,2017-09-29,115866
RAD_CC_MG,Cytologie cervix,Mammography,Cytologie cervix - US: 1,2011-12-06,109332
RAD_PATHOL_MG,PATHOL,Mammography,not in wise,2015-01-20,103160
RAD_ECLM_MG,Echo lidmaat,Mammography,Echo lidmaat - US: 59336; echo lidmaat - US: 30935; Echo lidmaat - CR: 45; echo lidmaat - CR: 19; Echo lidmaat - CT: 4; Echo lidmaat - MR: 2; Echo lidmaat - RF: 1,2017-09-29,98417
