sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
CHI,CHI,11,,1.00,APPROVED,EQUAL,Kim Denturck,1634718138748,38004447,General Surgery,Provider,MAPS_TO,,Kim Denturck,1634718132284,
URO,URO,177,,0.76,APPROVED,EQUAL,Kim Denturck,1634718464372,38004474,Urology,Provider,MAPS_TO,,Kim Denturck,1634718463084,
VER,VER,4,,1.00,APPROVED,EQUAL,Kim Denturck,1634720517846,38003905,Obstetrics,Provider,MAPS_TO,,Kim Denturck,1634720511526,
CAR,CAR,485,,1.00,APPROVED,EQUAL,Kim Denturck,1634718451652,38004451,Cardiology,Provider,MAPS_TO,,Kim Denturck,1634718449236,
DIE,DIE,58,,1.00,APPROVED,EQUAL,Kim Denturck,1634719186108,38004694,Registered Dietitian or Nutrition Professional,Provider,MAPS_TO,,Kim Denturck,1634719181012,
GOC,GOC,139,,0.89,FLAGGED,EQUAL,Kim Denturck,1634719417732,38004508,Surgical Oncology,Provider,MAPS_TO,,Kim Denturck,1634719402708,
INF,INF,3,,0.56,APPROVED,EQUAL,Kim Denturck,1634721206502,38004484,Infectious Disease,Provider,MAPS_TO,,Kim Denturck,1634721202998,
DER,DER,44,,1.00,APPROVED,EQUAL,Kim Denturck,1634718485476,38004452,Dermatology,Provider,MAPS_TO,,Kim Denturck,1634718477692,
LCH,LCH,26,,0.70,APPROVED,EQUAL,Kim Denturck,1634721279966,38004473,Thoracic Surgery,Provider,MAPS_TO,,Kim Denturck,1634721270382,
KLG,KLG,7,,0.32,FLAGGED,EQUAL,Kim Denturck,1634721462982,45756760,Clinical Genetics (MD),Provider,MAPS_TO,,Kim Denturck,1634721449374,
ORT,ORT,190,,1.00,FLAGGED,EQUAL,Kim Denturck,1634718533756,38004465,Orthopedic Surgery,Provider,MAPS_TO,,Kim Denturck,1634718530588,
LON,LON,289,,0.69,APPROVED,EQUAL,Kim Denturck,1634721696310,38004472,Pulmonary Disease,Provider,MAPS_TO,,Kim Denturck,1634721694878,
MSW,MSW,86,,0.69,FLAGGED,EQUAL,Kim Denturck,1634721810927,38003657,Clinical Social Worker,Provider,MAPS_TO,,Kim Denturck,1634721804126,
VPL,VPL,7,,0.77,APPROVED,EQUAL,Kim Denturck,1634721919334,32581,Nurse,Provider,MAPS_TO,,Kim Denturck,1634721912214,
VAT,VAT,105,,0.73,APPROVED,EQUAL,Kim Denturck,1634721976422,38004496,Vascular Surgery,Provider,MAPS_TO,,Kim Denturck,1634721975400,
APO,APO,5,,0.80,APPROVED,EQUAL,Kim Denturck,1634729169270,38004025,Clinical Pharmacology,Provider,MAPS_TO,,Kim Denturck,1634722041582,
HEM,HEM,245,,1.00,APPROVED,EQUAL,Kim Denturck,1634722052119,38004501,Hematology,Provider,MAPS_TO,,Kim Denturck,1634718423364,
HIP,HIP,3,,1.00,FLAGGED,EQUAL,Kim Denturck,1634722664382,0,Unmapped,,MAPS_TO,,,0,
GER,GER,266,,1.00,APPROVED,EQUAL,Kim Denturck,1634718609084,38004478,Geriatric Medicine,Provider,MAPS_TO,,Kim Denturck,1634718603836,
NEF,NEF,523,,0.74,APPROVED,EQUAL,Kim Denturck,1634722838062,38004479,Nephrology,Provider,MAPS_TO,,Kim Denturck,1634722835982,
NUC,NUC,8,,0.71,APPROVED,EQUAL,Kim Denturck,1634722944110,38004476,Nuclear Medicine,Provider,MAPS_TO,,Kim Denturck,1634722943486,
INT,INT,15,,0.68,APPROVED,EQUAL,Kim Denturck,1634723354774,38004456,Internal Medicine,Provider,MAPS_TO,,Kim Denturck,1634723349022,
