sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
LABO_00000655_arterieel,arterieel,74753,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660134022831,4047496,Arterial blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1660134021629,
LABO_00000655_veneus,veneus,22783,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660135010388,4045667,Venous blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1660135008902,
LABO_00000655_navelstreng,navelstreng,937,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080035825,4046835,Cord blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080034639,
LABO_00000655_veneus (navelstreng),veneus (navelstreng),862,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663077234009,45766302,Venous cord blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663077230508,
LABO_00000655_navelstreng veneus,navelstreng veneus,250,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080051218,45766302,Venous cord blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080049984,
LABO_00000655_capillair,capillair,160,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080020730,4046834,Capillary blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080019672,
LABO_00000655_mixed art/veneus,mixed art/veneus,98,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080086707,4001225,Blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080084855,
LABO_00000655_Point of Care staal,Point of Care staal,96,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080469951,4001225,Blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080467061,
LABO_00000655_-volgt-,-volgt-,92,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1660131677191,0,Unmapped,,MAPS_TO,,,0,
LABO_00000655_VC1,VC1,1,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080470978,4001225,Blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080467061,
LABO_00000655_Navelstreng,Navelstreng,1,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080042016,4046835,Cord blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080039910,
LABO_00000655_veneus navelstreng,veneus navelstreng,1,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663077243420,45766302,Venous cord blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663077241901,
LABO_00000655_Veneus,Veneus,1,,0.00,APPROVED,EQUAL,Stijn Dupulthys,1663080121501,4045667,Venous blood specimen,Specimen,MAPS_TO,,Stijn Dupulthys,1663080120291,
