sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
7,PVT en bescht wonen,0,,0.57,APPROVED,EQUAL,pjlammertyn,1637700413135,8615,Assisted Living Facility,Visit,MAPS_TO,,pjlammertyn,1637700411969,
D,Instelling (psychiatrisch),0,,0.57,APPROVED,EQUAL,pjlammertyn,1637700495444,38004284,Psychiatric Hospital,Visit,MAPS_TO,,pjlammertyn,1637700444276,
3,Ander ziekenh.:nt universitair,0,,0.36,UNCHECKED,UNREVIEWED,,0,38004515,Hospital,Visit,MAPS_TO,,pjlammertyn,1637741788522,
J,Overleden (zonder obductie),0,,0.33,UNCHECKED,UNREVIEWED,,0,434489,Dead,Condition,MAPS_TO,,pjlammertyn,1637700957855,
L,Hospice,0,,1.00,APPROVED,EQUAL,pjlammertyn,1637700465298,8546,Hospice,Visit,MAPS_TO,,pjlammertyn,1637700463708,
6,RVT en bejaardentehuis,0,,0.46,APPROVED,EQUAL,pjlammertyn,1637700482642,38004307,Adult Care Home,Visit,MAPS_TO,,pjlammertyn,1637700481721,
F,Verpleeg- / verzorgingshuis,0,,0.43,UNCHECKED,UNREVIEWED,,0,8676,Nursing Facility,Visit,MAPS_TO,,pjlammertyn,1637742235067,
5,Ander ziekenh.:psychiatrisch,0,,0.45,APPROVED,EQUAL,pjlammertyn,1637700532830,38004284,Psychiatric Hospital,Visit,MAPS_TO,,pjlammertyn,1637700532015,
9,Andere,0,,0.88,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
K,Tegen advies,0,,0.60,UNCHECKED,UNREVIEWED,,0,21499113,Left against medical advice or discontinued care,Meas Value,MAPS_TO,,pjlammertyn,1637742373700,
H,Onbekend,0,,0.74,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
A,Ander ziekenhuis,0,,0.48,UNCHECKED,UNREVIEWED,,0,36310684,Transferred to another hospital,Meas Value,MAPS_TO,,pjlammertyn,1637740790762,
E,Instelling (anders),0,,0.39,UNCHECKED,UNREVIEWED,,0,4057377,"Patient transfer, to another health care facility",Observation,MAPS_TO,,pjlammertyn,1637740859460,
4,Ander ziekenh.:universitair,0,,0.35,UNCHECKED,UNREVIEWED,,0,4330462,University,Observation,MAPS_TO,,pjlammertyn,1637701400147,
8,Overleden,0,,0.74,UNCHECKED,UNREVIEWED,,0,434489,Dead,Condition,MAPS_TO,,pjlammertyn,1637700939283,
1,Thuis,0,,0.84,UNCHECKED,UNREVIEWED,,0,4139502,Home,Observation,MAPS_TO,,pjlammertyn,1637700908651,
0,Onbekend,0,,0.74,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
I,Overleden (met obductie),0,,0.38,UNCHECKED,UNREVIEWED,,0,4162299,Autopsy examination,Procedure,MAPS_TO,,pjlammertyn,1637741043706,
B,Eigen woonomgeving,0,,0.44,UNCHECKED,UNREVIEWED,,0,4201839,Owns own home,Observation,MAPS_TO,,pjlammertyn,1637701009457,
C,Instelling (revalidatie),0,,0.31,APPROVED,EQUAL,pjlammertyn,1637700862296,38004285,Rehabilitation Hospital,Visit,MAPS_TO,,pjlammertyn,1637700861540,
G,Ziekenhuis buitenland,0,,0.43,UNCHECKED,UNREVIEWED,,0,4086447,Patient has gone abroad,Observation,MAPS_TO,,pjlammertyn,1637742754292,
