sourceCode,sourceName,sourceFrequency
0,Onbekend,0
1,Thuis,0
2,adm opn lang verblijf fusie,0
3,Ander zh, niet universitair,0
4,Ander zh, universitair,0
5,Ander zh, psychiatrisch,0
6,RVT en bejaardentehuis,0
7,PVt en beschut wonen,0
8,Geboren in dit ziekenhuis,0
9,Andere,0
A,Weg van/naar het werk,0
B,Op het werk,0
C,Weg van/naar school,0
D,In de school,0
E,Verkeer (behalve A of C),0
F,Tijdens sport (niet op school),0
G,Openbare plaats,0
H,Vanuit vpe binnen hetzelfde zh,0
I,In ziekenhuis geboren,0
J,Uit eigen ziekenhuis,0
K,Hospice,0
