sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
C,Weg van/naar school,-1,,0.44,UNCHECKED,UNREVIEWED,,0,8537,School,Visit,MAPS_TO,,pjlammertyn,1637682494397,
I,In ziekenhuis geboren,-1,,0.42,APPROVED,EQUAL,pjlammertyn,1637682717137,8650,Birthing Center,Visit,MAPS_TO,,pjlammertyn,1637682560012,
6,RVT en bejaardentehuis,-1,,0.46,APPROVED,EQUAL,pjlammertyn,1637682786187,38004307,Adult Care Home,Visit,MAPS_TO,,pjlammertyn,1637682785384,
K,Hospice,-1,,1.00,APPROVED,EQUAL,pjlammertyn,1637682724146,8546,Hospice,Visit,MAPS_TO,,pjlammertyn,1637682703458,
2,adm opn lang verblijf fusie,-1,,0.31,APPROVED,EQUAL,pjlammertyn,1637683122655,38004277,Long Term Care Hospital,Visit,MAPS_TO,,pjlammertyn,1637683120062,
5,Ander zh,-1,,0.44,APPROVED,EQUAL,pjlammertyn,1637682728506,38004515,Hospital,Visit,MAPS_TO,,pjlammertyn,1637682694719,
4,Ander zh,-1,,0.44,APPROVED,EQUAL,pjlammertyn,1637682730380,38004515,Hospital,Visit,MAPS_TO,,pjlammertyn,1637682699710,
E,Verkeer (behalve A of C),-1,,0.38,UNCHECKED,UNREVIEWED,,0,435713,Transport accident,Observation,MAPS_TO,,pjlammertyn,1637697840755,
J,Uit eigen ziekenhuis,-1,,0.44,APPROVED,EQUAL,pjlammertyn,1637697243573,38004515,Hospital,Visit,MAPS_TO,,pjlammertyn,1637697228225,
3,Ander zh,-1,,0.44,APPROVED,EQUAL,pjlammertyn,1637682736832,38004515,Hospital,Visit,MAPS_TO,,pjlammertyn,1637682736283,
1,Thuis,-1,,0.84,UNCHECKED,UNREVIEWED,,0,4139502,Home,Observation,MAPS_TO,,pjlammertyn,1637697275284,
8,Geboren in dit ziekenhuis,-1,,0.40,UNCHECKED,UNREVIEWED,,0,8650,Birthing Center,Visit,MAPS_TO,,pjlammertyn,1637682824574,
G,Openbare plaats,-1,,0.53,UNCHECKED,UNREVIEWED,,0,44804376,Public place,Observation,MAPS_TO,,pjlammertyn,1637697312802,
D,In de school,-1,,0.85,APPROVED,EQUAL,pjlammertyn,1637682846068,8537,School,Visit,MAPS_TO,,pjlammertyn,1637682845414,
0,Onbekend,-1,,0.74,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
9,Andere,-1,,0.88,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
B,Op het werk,-1,,0.47,APPROVED,EQUAL,pjlammertyn,1637682964014,581475,Place of Employment-Worksite,Visit,MAPS_TO,,pjlammertyn,1637682962492,
7,PVt en beschut wonen,-1,,0.54,APPROVED,EQUAL,pjlammertyn,1637684176829,8615,Assisted Living Facility,Visit,MAPS_TO,,pjlammertyn,1637684175996,
A,Weg van/naar het werk,-1,,0.30,UNCHECKED,UNREVIEWED,,0,581475,Place of Employment-Worksite,Visit,MAPS_TO,,pjlammertyn,1637696896819,
H,Vanuit vpe binnen hetzelfde zh,-1,,0.33,UNCHECKED,UNREVIEWED,,0,4023217,Ward,Observation,MAPS_TO,,pjlammertyn,1637697204085,
F,Tijdens sport (niet op school),-1,,0.49,UNCHECKED,UNREVIEWED,,0,4212586,Sport,Observation,MAPS_TO,,pjlammertyn,1637697134278,
