sourceCode,sourceName,sourceFrequency
0,Onbekend,0
1,Thuis,0
3,Ander ziekenh.:nt universitair,0
4,Ander ziekenh.:universitair,0
5,Ander ziekenh.:psychiatrisch,0
6,RVT en bejaardentehuis,0
7,PVT en bescht wonen,0
8,Overleden,0
9,Andere,0
A,Ander ziekenhuis,0
B,Eigen woonomgeving,0
C,Instelling (revalidatie),0
D,Instelling (psychiatrisch),0
E,Instelling (anders),0
F,Verpleeg- / verzorgingshuis,0
G,Ziekenhuis buitenland,0
H,Onbekend,0
I,Overleden (met obductie),0
J,Overleden (zonder obductie),0
K,Tegen advies,0
L,Hospice,0
